stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
9116 9,,日ケ暮上,,33.1314026,131.3544616,9116 9,,0,,,,
9117 9,,十合野,,33.1285148,131.3481156,9117 9,,0,,,,
9118 9,,永畑,,33.1264343,131.343891,9118 9,,0,,,,
9119 9,,伊小野,,33.1237006,131.3409587,9119 9,,0,,,,
9130 1,,三船,,33.2193576,131.5252342,9130 1,,0,,,,
9130 2,,三船,,33.2193721,131.5253602,9130 2,,0,,,,
9131 1,,石城小学校前,,33.2220141,131.5229658,9131 1,,0,,,,
9131 2,,石城小学校前,,33.2221207,131.5229671,9131 2,,0,,,,
9132 1,,一木,,33.2299309,131.519414,9132 1,,0,,,,
9132 2,,一木,,33.2300038,131.5194689,9132 2,,0,,,,
9133 9,,七蔵司,,33.2345704,131.5155441,9133 9,,0,,,,
