service_id,date,exception_type
84389acc-0511-4e90-b4d5-0a10829f027e,20250403,1
7e4c35ac-c131-46d6-a0d6-112b19f0b61f,20250403,1
2c38f828-807f-4c66-9241-1ba254cb7ede,20250403,1
ea8d09c9-65ab-44e9-a264-1bfffe806ea1,20250403,1
782dd637-8a55-4cc7-a115-24f6bc9e4118,20250403,1
9211dd07-fd96-4d80-a97b-40e5b86674bd,20250403,1
28606914-b76b-4087-9fc9-4baa9b3a32a9,20250403,1
f17fab00-6900-4c92-b2d1-4c3a8c7a0d70,20250403,1
ae174509-cfb5-4584-b585-64ec51a1e119,20250403,1
8fbb6005-9876-48b9-9e48-897674c6704b,20250403,1
84389acc-0511-4e90-b4d5-0a10829f027e,20250404,1
7e4c35ac-c131-46d6-a0d6-112b19f0b61f,20250404,1
c2ed75b7-2aff-497f-8eca-1a7a62a111b4,20250404,1
2c38f828-807f-4c66-9241-1ba254cb7ede,20250404,1
ea8d09c9-65ab-44e9-a264-1bfffe806ea1,20250404,1
782dd637-8a55-4cc7-a115-24f6bc9e4118,20250404,1
28606914-b76b-4087-9fc9-4baa9b3a32a9,20250404,1
d36ced2a-1ab9-41a0-9b3c-58596f19fefd,20250404,1
848e88b0-18ff-4d8e-b2e6-6790836b0d68,20250404,1
931229e8-e660-4a43-a7f5-6920ee64ae11,20250404,1
ea39c3f2-56f5-4c37-b8cd-7269f7300e84,20250404,1
8fbb6005-9876-48b9-9e48-897674c6704b,20250404,1
84389acc-0511-4e90-b4d5-0a10829f027e,20250407,1
7e4c35ac-c131-46d6-a0d6-112b19f0b61f,20250407,1
2c38f828-807f-4c66-9241-1ba254cb7ede,20250407,1
ea8d09c9-65ab-44e9-a264-1bfffe806ea1,20250407,1
782dd637-8a55-4cc7-a115-24f6bc9e4118,20250407,1
157b8f25-b438-4675-9808-4284a7481c3b,20250407,1
04f9116b-0d03-4035-86d0-4393056734b3,20250407,1
6a5176d2-f0e2-4036-ad09-5965ef1737b7,20250407,1
1fe1b77f-a3fd-4f4a-89b4-5bd35cdb17cb,20250407,1
8fbb6005-9876-48b9-9e48-897674c6704b,20250407,1
1dfa5133-acca-498f-a963-a482385787d1,20250407,1
765dbd56-138a-4fb2-90e9-b64a2f2d7135,20250407,1
84389acc-0511-4e90-b4d5-0a10829f027e,20250408,1
7e4c35ac-c131-46d6-a0d6-112b19f0b61f,20250408,1
c2ed75b7-2aff-497f-8eca-1a7a62a111b4,20250408,1
2c38f828-807f-4c66-9241-1ba254cb7ede,20250408,1
ea8d09c9-65ab-44e9-a264-1bfffe806ea1,20250408,1
782dd637-8a55-4cc7-a115-24f6bc9e4118,20250408,1
9211dd07-fd96-4d80-a97b-40e5b86674bd,20250408,1
f17fab00-6900-4c92-b2d1-4c3a8c7a0d70,20250408,1
c66f7eb5-584b-479f-8830-4dd9488ce7e6,20250408,1
d36ced2a-1ab9-41a0-9b3c-58596f19fefd,20250408,1
ea39c3f2-56f5-4c37-b8cd-7269f7300e84,20250408,1
8fbb6005-9876-48b9-9e48-897674c6704b,20250408,1
d39a98ae-9040-4367-be35-056b41e480f1,20250409,1
84389acc-0511-4e90-b4d5-0a10829f027e,20250409,1
2c38f828-807f-4c66-9241-1ba254cb7ede,20250409,1
ea8d09c9-65ab-44e9-a264-1bfffe806ea1,20250409,1
782dd637-8a55-4cc7-a115-24f6bc9e4118,20250409,1
7e5dc03f-a5b2-4539-ad2e-5dc72993378a,20250409,1
6835728a-274b-468d-b0ae-5f31b15a9f75,20250409,1
2088a949-2dba-4861-bffc-642a6c637e97,20250409,1
6861cfd8-54ea-4dc3-a444-67e3677e0a84,20250409,1
8fbb6005-9876-48b9-9e48-897674c6704b,20250409,1
5458aaa4-bf81-4e07-b86d-a8c96eb3884d,20250409,1
c4b0c263-fcc4-44b0-a858-b7fd5e9e9c18,20250409,1
b860c78f-3d50-4441-8c2d-d5422061fbfe,20250409,1
84389acc-0511-4e90-b4d5-0a10829f027e,20250410,1
7e4c35ac-c131-46d6-a0d6-112b19f0b61f,20250410,1
2c38f828-807f-4c66-9241-1ba254cb7ede,20250410,1
ea8d09c9-65ab-44e9-a264-1bfffe806ea1,20250410,1
782dd637-8a55-4cc7-a115-24f6bc9e4118,20250410,1
9211dd07-fd96-4d80-a97b-40e5b86674bd,20250410,1
28606914-b76b-4087-9fc9-4baa9b3a32a9,20250410,1
f17fab00-6900-4c92-b2d1-4c3a8c7a0d70,20250410,1
