route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2371,4320001001003,,田能原線,,3,,,
2421,4320001001003,,菅原線,,3,,,
4441,4320001001003,,古後線,,3,,,
4460,4320001001003,,栃木線,,3,,,
4461,4320001001003,,栃木線,,3,,,
4471,4320001001003,,栃木線,,3,,,
2420,4320001001003,,菅原線,,3,,,
2330,4320001001003,,田能原線,,3,,,
2231,4320001001003,,深耶馬渓線,,3,,,
4410,4320001001003,,古後線,,3,,,
2511,4320001001003,,栃木線,,3,,,
2281,4320001001003,,深耶馬渓線,,3,,,
2290,4320001001003,,古後線,,3,,,
2270,4320001001003,,田能原線,,3,,,
2221,4320001001003,,深耶馬渓線,,3,,,
2450,4320001001003,,宝泉寺線,,3,,,
2510,4320001001003,,栃木線,,3,,,
2341,4320001001003,,古後線,,3,,,
4411,4320001001003,,古後線,,3,,,
2310,4320001001003,,古後線,,3,,,
2220,4320001001003,,深耶馬渓線,,3,,,
2271,4320001001003,,田能原線,,3,,,
2451,4320001001003,,宝泉寺線,,3,,,
2190,4320001001003,,深耶馬渓線,,3,,,
2301,4320001001003,,古後線,,3,,,
