trans_id,lang,translation
明野南町⑤,ja-Hrkt,あけのみなみまち
明野南町⑤,en,Akeno Minamimachi 3 [Akeno Nishisho Homen]
明野南町⑤,ko,아케노미나미마치3 [아케노니시쇼방면]
明野南町⑤,zh-cn,明野南町３［明野西小方向］
明野南町⑤,zh-tw,明野南町３［明野西小方向］
西山公園下,ja,西山公園下
西山公園下,ja-Hrkt,にしやまこうえんした
楊志館高校前,ja,楊志館高校前
楊志館高校前,ja-Hrkt,ようしかんこうこうまえ
仏光寺前,en,Bukkoji Mae
仏光寺前,ko,붓코지마에
仏光寺前,zh-cn,佛光寺前
仏光寺前,zh-tw,佛光寺前
寒田北町三丁目,en,Soda Kitamachi 3 Chome
寒田北町三丁目,ko,소다키타마치산초메
寒田北町三丁目,zh-cn,寒田北町三丁目
寒田北町三丁目,zh-tw,寒田北町三丁目
森中村,ja,森中村
森中村,ja-Hrkt,もりなかむら
敷戸,ja,敷戸
敷戸,ja-Hrkt,しきど
敷戸,en,Shikido
敷戸,ko,시키도
敷戸,zh-cn,敷户
敷戸,zh-tw,敷戶
利光,ja,利光
利光,ja-Hrkt,としみつ
上皆春,ja,上皆春
上皆春,ja-Hrkt,かみみなはる
上皆春,en,Kami Minaharu
上皆春,ko,가미미나하루
上皆春,zh-cn,上皆春
上皆春,zh-tw,上皆春
錦町三丁目,ja,錦町三丁目
錦町三丁目,ja-Hrkt,にしきまちさんちようめ
錦町三丁目,en,Nishikimachi 3 Chome
錦町三丁目,ko,니시키마치산초메
錦町三丁目,zh-cn,锦町三丁目
錦町三丁目,zh-tw,錦町三丁目
金池ターミナル,ja,金池ターミナル
金池ターミナル,ja-Hrkt,かないけたーみなる
金池ターミナル,en,Kanaike Terminal
金池ターミナル,ko,가나이케터미널
金池ターミナル,zh-cn,金池总站
金池ターミナル,zh-tw,金池總站
アクロス前,ja,アクロス前
アクロス前,ja-Hrkt,あくろすまえ
アクロス前,en,Across Mae
アクロス前,ko,아크로스마에
アクロス前,zh-cn,ＡＣＲＯＳＳ前
アクロス前,zh-tw,ＡＣＲＯＳＳ前
下徳丸,ja,下徳丸
下徳丸,ja-Hrkt,しもとくまる
下徳丸,en,Shimo Tokumaru
下徳丸,ko,시모토쿠마루
下徳丸,zh-cn,下德丸
下徳丸,zh-tw,下德丸
中央通り⑥,ja,中央通り⑥
中央通り⑥,ja-Hrkt,ちゅうおうどおり
中央通り⑥,en,Chuo Dori ⑥[Oita Bus/Oita Kotsu]
中央通り⑥,ko,추오도리⑥ [오이타버스/오이타코쓰]
中央通り⑥,zh-cn,中央通⑥［大分巴士/大分交通］
中央通り⑥,zh-tw,中央通⑥［大分巴士/大分交通］
蛇崎,ja,蛇崎
蛇崎,ja-Hrkt,へびざき
蛇崎,en,Hebizaki
蛇崎,ko,헤비자키
蛇崎,zh-cn,蛇崎
蛇崎,zh-tw,蛇崎
元町,ja,元町
元町,ja-Hrkt,もとまち
明野元町,ja,明野元町
明野元町,ja-Hrkt,あけのもとまち
明野元町,en,Akeno Motomachi
明野元町,ko,아케노모토마치
明野元町,zh-cn,明野元町
明野元町,zh-tw,明野元町
仲川原,en,Nakagawara
仲川原,ko,나카가와라
仲川原,zh-cn,仲川原
仲川原,zh-tw,仲川原
狩生,ja,狩生
狩生,ja-Hrkt,かりう
狩生,en,Kariu
狩生,ko,가리우
狩生,zh-cn,狩生
狩生,zh-tw,狩生
野田,ja,野田
野田,ja-Hrkt,のだ
野田,en,Noda
野田,ko,노다
野田,zh-cn,野田
野田,zh-tw,野田
明野北１丁目,ja,明野北１丁目
明野北１丁目,ja-Hrkt,あけのきたいっちょうめ
明野北１丁目,en,Akeno Kita 1 Chome
明野北１丁目,ko,아케노키타잇초메
明野北１丁目,zh-cn,明野北１丁目
明野北１丁目,zh-tw,明野北１丁目
臼杵駅,ja,臼杵駅
臼杵駅,ja-Hrkt,うすきえき
臼杵駅,en,Usuki Eki
臼杵駅,ko,우스키에키
臼杵駅,zh-cn,臼杵站
臼杵駅,zh-tw,臼杵站
西中浜,en,Nishi Nakahama
西中浜,ko,니시나카하마
西中浜,zh-cn,西中滨
西中浜,zh-tw,西中濱
雄城台高校入口,ja,雄城台高校入口
雄城台高校入口,ja-Hrkt,おぎのだいこうこういりぐち
上利光,ja,上利光
上利光,ja-Hrkt,かみとしみつ
極楽寺,ja,極楽寺
極楽寺,ja-Hrkt,ごくらくじ
極楽寺,en,Gokurakuji
極楽寺,ko,고쿠라쿠지
極楽寺,zh-cn,极乐寺
極楽寺,zh-tw,極樂寺
上利光,en,Kami Toshimitsu
上利光,ko,가미토시미쓰
上利光,zh-cn,上利光
上利光,zh-tw,上利光
大洲運動公園前,ja,大洲運動公園前
大洲運動公園前,ja-Hrkt,おおすうんどうこうえんまえ
大洲運動公園前,en,Osu Undo Koen Mae
大洲運動公園前,ko,오스운도코엔마에
大洲運動公園前,zh-cn,大洲运动公园前
大洲運動公園前,zh-tw,大洲運動公園前
海崎駅,ja,海崎駅
海崎駅,ja-Hrkt,かいざきえき
中津留入口,ja,中津留入口
中津留入口,ja-Hrkt,なかつるいりぐち
中津留入口,en,Nakatsuru Iriguchi
中津留入口,ko,나카쓰루이리구치
中津留入口,zh-cn,中津留入口
中津留入口,zh-tw,中津留入口
上野丘一丁目,ja,上野丘一丁目
上野丘一丁目,ja-Hrkt,うえのがおかいっちょうめ
府内大橋③,ja,府内大橋③
府内大橋③,ja-Hrkt,ふないおおはし
京が丘コスモ公園,ja,京が丘コスモ公園
京が丘コスモ公園,ja-Hrkt,きょうがおかこすもこうえん
京が丘コスモ公園,en,Kyogaoka Cosmo Koen
京が丘コスモ公園,ko,교가오카코스모코엔
京が丘コスモ公園,zh-cn,京丘宇宙公园
京が丘コスモ公園,zh-tw,京丘宇宙公園
木田重機前,ja,木田重機前
木田重機前,ja-Hrkt,きだじゅうきまえ
緑豊小学校入口,ja,緑豊小学校入口
猪野団地入口,ja,猪野団地入口
猪野団地入口,ja-Hrkt,いのだんちいりぐち
ふじが丘中央,ja,ふじが丘中央
ふじが丘中央,ja-Hrkt,ふじがおかちゅうおう
ふじが丘中央,en,Fujigaoka Chuo
ふじが丘中央,ko,후지가오카추오
ふじが丘中央,zh-cn,富士丘中央
ふじが丘中央,zh-tw,富士丘中央
杉原,ja,杉原
杉原,ja-Hrkt,すぎばる
顕徳町,ja,顕徳町
顕徳町,ja-Hrkt,けんとくまち
顕徳町,en,Kentokumachi
顕徳町,ko,겐토쿠마치
顕徳町,zh-cn,显德町
顕徳町,zh-tw,顯德町
小蒲江,ja,小蒲江
花高松２,ja,花高松２
花高松２,ja-Hrkt,はなたかまつ
花高松２,en,Hanatakamatsu 2
花高松２,ko,하나타카마쓰2
花高松２,zh-cn,花高松２
花高松２,zh-tw,花高松２
大道四丁目,ja,大道四丁目
大道四丁目,ja-Hrkt,おおみちよんちょうめ
大道四丁目,en,Omichi 4 Chome
大道四丁目,ko,오미치욘초메
大道四丁目,zh-cn,大道四丁目
大道四丁目,zh-tw,大道四丁目
秋,ja,秋
秋,ja-Hrkt,あき
秋,en,Aki
秋,ko,아키
秋,zh-cn,秋
秋,zh-tw,秋
松が丘南,ja,松が丘南
松が丘南,ja-Hrkt,まつがおかみなみ
山津,ja,山津
山津,ja-Hrkt,やまづ
山津,en,Yamazu
山津,ko,야마즈
山津,zh-cn,山津
山津,zh-tw,山津
辻口,ja,辻口
辻口,ja-Hrkt,つじくち
辻口,en,Tsujikuchi
辻口,ko,쓰지쿠치
辻口,zh-cn,辻口
辻口,zh-tw,辻口
教育会館入口,ja,教育会館入口
教育会館入口,ja-Hrkt,きょういくかいかんいりぐち
松が丘南,en,Matsugaoka Minami
松が丘南,ko,마쓰가오카미나미
松が丘南,zh-cn,松丘南
松が丘南,zh-tw,松丘南
笹良目,ja,笹良目
笹良目,ja-Hrkt,ささらめ
笹良目,en,Sasarame
笹良目,ko,사사라메
笹良目,zh-cn,笹良目
笹良目,zh-tw,笹良目
川添小学校前,ja,川添小学校前
川添小学校前,ja-Hrkt,かわぞえしょうがっこうまえ
関門,ja,関門
関門,ja-Hrkt,せきかど
関門,en,Sekikado
関門,ko,세키카도
関門,zh-cn,关门
関門,zh-tw,關門
直川振興局入口,ja,直川振興局入口
直川振興局入口,ja-Hrkt,なおかわしんこうきょくいりぐち
直川振興局入口,en,Naokawa Shinkokyoku Iriguchi
直川振興局入口,ko,나오카와신코쿄쿠이리구치
直川振興局入口,zh-cn,直川振興局入口
直川振興局入口,zh-tw,直川振兴局入口
市営団地入口,ja,市営団地入口
市営団地入口,ja-Hrkt,しえいだんちいりぐち
市営団地入口,en,Shiei Danchi Iriguchi
市営団地入口,ko,시에이단치이리구치
市営団地入口,zh-cn,市营团地入口
市営団地入口,zh-tw,市營團地入口
大洲浜,ja,大洲浜
大洲浜,ja-Hrkt,おおずはま
吹浦,ja,吹浦
吹浦,ja-Hrkt,ふきうら
明野南町③,ja,明野南町③
明野南町③,ja-Hrkt,あけのみなみまち
岩田町一丁目,ja,岩田町一丁目
岩田町一丁目,ja-Hrkt,いわたまちいっちょうめ
岩田町一丁目,en,Iwatamachi 1 Chome
岩田町一丁目,ko,이와타마치잇초메
岩田町一丁目,zh-cn,岩田町一丁目
岩田町一丁目,zh-tw,岩田町一丁目
看護大学前,ja,看護大学前
看護大学前,ja-Hrkt,かんごだいがくまえ
角道,ja,角道
角道,ja-Hrkt,かくどう
今俵,ja,今俵
今俵,ja-Hrkt,いまびょう
今俵,en,Imabyo
今俵,ko,이마뵤
今俵,zh-cn,今俵
今俵,zh-tw,今俵
大南団地入口,ja,大南団地入口
大南団地入口,ja-Hrkt,だいなんだんちいりぐち
国分団地,ja,国分団地
国分団地,ja-Hrkt,こくぶだんち
久保山下,ja,久保山下
久保山下,ja-Hrkt,くぼやました
久保山下,en,Kuboyama Shita
久保山下,ko,구보야마시타
久保山下,zh-cn,久保山下
久保山下,zh-tw,久保山下
田尻ＧＨ西入口,ja,田尻ＧＨ西入口
田尻ＧＨ西入口,ja-Hrkt,たじりぐりーんはいつにしいりぐち
木の上,en,Kinoue
木の上,ko,기노우에
木の上,zh-cn,木之上
木の上,zh-tw,木之上
上松,ja,上松
上松,ja-Hrkt,うえまつ
上松,en,Uematsu [Usukishi]
上松,ko,우에마쓰 [우스키시]
上松,zh-cn,上松［臼杵市］
上松,zh-tw,上松［臼杵市］
瀬会海水浴場,ja,瀬会海水浴場
瀬会海水浴場,ja-Hrkt,ぜあいかいすいよくじょう
浜浦,en,Hamaura
浜浦,ko,하마우라
浜浦,zh-cn,滨浦
浜浦,zh-tw,濱浦
上野丘高校前,ja,上野丘高校前
上野丘高校前,ja-Hrkt,うえのがおかこうこうまえ
わんぱく公園前,ja,わんぱく公園前
わんぱく公園前,ja-Hrkt,わんぱくこうえんまえ
わんぱく公園前,en,Wampaku Koen Mae
わんぱく公園前,ko,완파쿠코엔마에
わんぱく公園前,zh-cn,腕白公园前
わんぱく公園前,zh-tw,腕白公園前
新生支援学校前,ja,新生支援学校前
新生支援学校前,ja-Hrkt,しんせいしえんがっこうまえ
新生支援学校前,en,Shinsei Shien Gakko Mae
新生支援学校前,ko,신세이시엔갓코마에
新生支援学校前,zh-cn,新生支援学校前
新生支援学校前,zh-tw,新生支援學校前
敷戸駅前,ja,敷戸駅前
敷戸駅前,ja-Hrkt,しきどえきまえ
敷戸駅前,en,Shikido Eki Mae
敷戸駅前,ko,시키도에키마에
敷戸駅前,zh-cn,敷户站前
敷戸駅前,zh-tw,敷戶站前
影の木,ja,影の木
影の木,ja-Hrkt,かげのき
寒田北町一丁目,en,Soda Kitamachi 1 Chome
寒田北町一丁目,ko,소다키타마치잇초메
寒田北町一丁目,zh-cn,寒田北町一丁目
寒田北町一丁目,zh-tw,寒田北町一丁目
風連鍾乳洞入口,en,Furen Shonyudo Iriguchi
風連鍾乳洞入口,ko,후렌쇼뉴도이리구치
風連鍾乳洞入口,zh-cn,风连钟乳洞入口
風連鍾乳洞入口,zh-tw,風連鐘乳洞入口
新賀来橋,ja,新賀来橋
新賀来橋,ja-Hrkt,しんかくばし
宗方,ja,宗方
宗方,ja-Hrkt,むなかた
大分東高校,ja,大分東高校
大分東高校,ja-Hrkt,おおいたひがしこうこう
下落谷,ja,下落谷
下落谷,ja-Hrkt,しもおちだに
下落谷,en,Shimo Ochidani
下落谷,ko,시모오치다니
下落谷,zh-cn,下落谷
下落谷,zh-tw,下落谷
堂園,ja,堂園
堂園,ja-Hrkt,どうぞの
古野,ja,古野
古野,ja-Hrkt,ふるの
古野,en,Furuno
古野,ko,후루노
古野,zh-cn,古野
古野,zh-tw,古野
木の瀬,en,Kinose
木の瀬,ko,기노세
木の瀬,zh-cn,木之濑
木の瀬,zh-tw,木之瀨
萩原,ja,萩原
萩原,ja-Hrkt,はぎわら
萩原,en,Hagiwara
萩原,ko,하기와라
萩原,zh-cn,萩原
萩原,zh-tw,萩原
緑が丘三丁目,ja,緑が丘三丁目
緑が丘三丁目,ja-Hrkt,みどりがおかさんちょうめ
緑が丘三丁目,en,Midorigaoka 3 Chome
緑が丘三丁目,ko,미도리가오카산초메
緑が丘三丁目,zh-cn,绿丘三丁目
緑が丘三丁目,zh-tw,綠丘三丁目
白滝橋,ja,白滝橋
白滝橋,ja-Hrkt,しらたきばし
茶屋ヶ鼻,ja,茶屋ヶ鼻
茶屋ヶ鼻,ja-Hrkt,ちゃやがはな
中向,ja,中向
中向,ja-Hrkt,なかむかい
大分大学,ja,大分大学
大分大学,ja-Hrkt,おおいただいがく
寒田南町一丁目,ja,寒田南町一丁目
寒田南町一丁目,ja-Hrkt,そうだみなみまちいっちょうめ
中小浦,ja,中小浦
中小浦,ja-Hrkt,なかこうら
中小浦,en,Naka Koura
中小浦,ko,나카코우라
中小浦,zh-cn,中小浦
中小浦,zh-tw,中小浦
萩原本町,ja,萩原本町
萩原本町,ja-Hrkt,はぎわらほんまち
ジャパンセミコンダクター前,en,Japan Semiconductor Mae
ジャパンセミコンダクター前,ko,재팬세미컨덕터마에
ジャパンセミコンダクター前,zh-cn,日本半导体前
ジャパンセミコンダクター前,zh-tw,日本半導體前
下郡中央,ja,下郡中央
下郡中央,ja-Hrkt,しもごおりちゅうおう
下郡中央,en,Shimogori Chuo
下郡中央,ko,시모고리추오
下郡中央,zh-cn,下郡中央
下郡中央,zh-tw,下郡中央
岡原団地入口,ja,岡原団地入口
岡原団地入口,ja-Hrkt,おかばるだんちいりぐち
岡原団地入口,en,Okabaru Danchi Iriguchi
岡原団地入口,ko,오카바루단치이리구치
岡原団地入口,zh-cn,冈原团地入口
岡原団地入口,zh-tw,岡原團地入口
向の原,ja,向の原
向の原,ja-Hrkt,むかいのはる
東中浜,ja,東中浜
東中浜,ja-Hrkt,ひがしなかはま
東中浜,en,Higashi Nakahama [Oita]
東中浜,ko,히가시나카하마 [오이타]
東中浜,zh-cn,东中滨［大分］
東中浜,zh-tw,東中濱［大分］
東大道１丁目,ja,東大道１丁目
東大道１丁目,ja-Hrkt,ひがしおおみちいっちょうめ
運転免許センター,ja,運転免許センター
運転免許センター,ja-Hrkt,うんてんめんきょせんたー
久保浦,ja,久保浦
久保浦,ja-Hrkt,くぼうら
久保浦,en,Kuboura [Yonozu]
久保浦,ko,구보우라 [요노우즈]
久保浦,zh-cn,久保浦［米水津］
久保浦,zh-tw,久保浦［米水津］
中筋,ja,中筋
中筋,ja-Hrkt,なかすじ
木の上峠,ja,木の上峠
木の上峠,ja-Hrkt,きのうえとうげ
木の上峠,en,Kinouetoge
木の上峠,ko,기노우에토게
木の上峠,zh-cn,木之上峠
木の上峠,zh-tw,木之上峠
中臼杵,ja,中臼杵
中臼杵,ja-Hrkt,なかうすき
勝尾,ja,勝尾
勝尾,ja-Hrkt,かつお
三福寺前,ja,三福寺前
三福寺前,ja-Hrkt,さんぷくじまえ
三福寺前,en,Sampukuji Mae
三福寺前,ko,산푸쿠지마에
三福寺前,zh-cn,三福寺前
三福寺前,zh-tw,三福寺前
奥,ja,奥
奥,ja-Hrkt,おく
奥,en,Oku [Yoshino]
奥,ko,오쿠 [요시노]
奥,zh-cn,奥［吉野］
奥,zh-tw,奧［吉野］
蒲江,ja,蒲江
蒲江,ja-Hrkt,かまえ
蒲江,en,Kamae
蒲江,ko,가마에
蒲江,zh-cn,蒲江
蒲江,zh-tw,蒲江
蟹田,ja,蟹田
蟹田,ja-Hrkt,がんだ
川床,ja,川床
川床,ja-Hrkt,かわとこ
川床,en,Kawatoko [Oita]
川床,ko,가와토코 [오이타]
川床,zh-cn,川床［大分］
川床,zh-tw,川床［大分］
大学病院,ja,大学病院
大学病院,ja-Hrkt,だいがくびょういん
八幡公民館前,ja,八幡公民館前
八幡公民館前,ja-Hrkt,やはたこうみんかんまえ
八幡公民館前,en,Yahata Kominkan Mae
八幡公民館前,ko,야하타코민칸마에
八幡公民館前,zh-cn,八幡公民館前
八幡公民館前,zh-tw,八幡公民馆前
運転免許センター,en,Unten Menkyo Center
運転免許センター,ko,운텐멘쿄센터
運転免許センター,zh-cn,驾照中心
運転免許センター,zh-tw,駕照中心
丸亀,ja,丸亀
丸亀,ja-Hrkt,まるがめ
高江北２丁目,en,Takae Kita 2 Chome
高江北２丁目,ko,다카에키타니초메
高江北２丁目,zh-cn,高江北２丁目
高江北２丁目,zh-tw,高江北２丁目
黒土,ja,黒土
黒土,ja-Hrkt,くろつち
花高松,ja,花高松
花高松,ja-Hrkt,はなたかまつ
花高松,en,Hanatakamatsu
花高松,ko,하나타카마쓰
花高松,zh-cn,花高松
花高松,zh-tw,花高松
西野浦東,ja,西野浦東
西野浦東,ja-Hrkt,にしのうらひがし
大在駅裏,ja,大在駅裏
大在駅裏,ja-Hrkt,おおざいえきうら
滝尾小学校前,ja,滝尾小学校前
滝尾小学校前,ja-Hrkt,たきおしょうがっこうまえ
蒲江郵便局前,ja,蒲江郵便局前
蒲江郵便局前,ja-Hrkt,かまえゆうびんきょくまえ
大東団地入口,ja,大東団地入口
大東団地入口,ja-Hrkt,だいとうだんちいりぐち
江良,ja,江良
江良,ja-Hrkt,えら
堤内,ja,堤内
堤内,ja-Hrkt,ひさぎうち
けやき台１丁目,ja,けやき台１丁目
けやき台１丁目,ja-Hrkt,けやきだいいっちょうめ
けやき台１丁目,en,Keyakidai 1 Chome
けやき台１丁目,ko,게야키다이잇초메
けやき台１丁目,zh-cn,榉台１丁目
けやき台１丁目,zh-tw,櫸台１丁目
県立病院西口,en,Kenritsu Byoin Nishiguchi
県立病院西口,ko,켄리쓰뵤인니시구치
県立病院西口,zh-cn,县立医院西口
県立病院西口,zh-tw,縣立醫院西口
中尾,en,Nakao [Oita]
中尾,ko,나카오 [오이타]
中尾,zh-cn,中尾［大分］
中尾,zh-tw,中尾［大分］
宮崎西,ja,宮崎西
宮崎西,ja-Hrkt,みやざきにし
宮崎西,en,Miyazaki Nishi
宮崎西,ko,미야자키니시
宮崎西,zh-cn,宫崎西
宮崎西,zh-tw,宮崎西
久土入口,ja,久土入口
久土入口,ja-Hrkt,くどいりぐち
志生場,ja,志生場
志生場,ja-Hrkt,しゅうば
志生場,en,Shuba
志生場,ko,슈바
志生場,zh-cn,志生场
志生場,zh-tw,志生場
岡山入口,ja,岡山入口
岡山入口,ja-Hrkt,おかやまいりぐち
丸亀,en,Marugame
丸亀,ko,마루가메
丸亀,zh-cn,丸龟
丸亀,zh-tw,丸龜
野津原,ja,野津原
野津原,ja-Hrkt,のつはる
新高松,ja,新高松
新高松,ja-Hrkt,しんたかまつ
新高松,en,Shin Takamatsu
新高松,ko,신타카마쓰
新高松,zh-cn,新高松
新高松,zh-tw,新高松
羽田入口,ja,羽田入口
羽田入口,ja-Hrkt,はだいりぐち
一里塚,ja,一里塚
一里塚,ja-Hrkt,いちりづか
一里塚,en,Ichirizuka
一里塚,ko,이치리즈카
一里塚,zh-cn,一里冢
一里塚,zh-tw,一里塚
犬飼久原,ja,犬飼久原
犬飼久原,ja-Hrkt,いぬかいくばる
横塚東,ja,横塚東
横塚東,ja-Hrkt,よこつかひがし
緑が丘入口,ja,緑が丘入口
緑が丘入口,ja-Hrkt,みどりがおかいりぐち
二目川下,ja,二目川下
二目川下,ja-Hrkt,ふためがわしも
二目川下,en,Futamegawa Shimo
二目川下,ko,후타메가와시모
二目川下,zh-cn,二目川下
二目川下,zh-tw,二目川下
直川中学校前,ja,直川中学校前
上徳丸,ja,上徳丸
上徳丸,ja-Hrkt,かみとくまる
上徳丸,en,Kami Tokumaru
上徳丸,ko,가미토쿠마루
上徳丸,zh-cn,上德丸
上徳丸,zh-tw,上德丸
道越入口,ja,道越入口
道越入口,ja-Hrkt,どうごえいりぐち
道越入口,en,Dogoe Iriguchi
道越入口,ko,도고에이리구치
道越入口,zh-cn,道越入口
道越入口,zh-tw,道越入口
西新地入口,ja,西新地入口
西新地入口,ja-Hrkt,にししんちいりぐち
西新地入口,en,Nishi Shinchi Iriguchi
西新地入口,ko,니시신치이리구치
西新地入口,zh-cn,西新地入口
西新地入口,zh-tw,西新地入口
法勝台入口,en,Hoshodai Iriguchi
法勝台入口,ko,호쇼다이이리구치
法勝台入口,zh-cn,法胜台入口
法勝台入口,zh-tw,法勝台入口
岩屋川,ja,岩屋川
岩屋川,ja-Hrkt,いわやがわ
岩屋川,en,Iwayagawa
岩屋川,ko,이와야가와
岩屋川,zh-cn,岩屋川
岩屋川,zh-tw,岩屋川
星和台入口,ja,星和台入口
星和台入口,ja-Hrkt,せいわだいいりぐち
高城駅前,ja,高城駅前
高城駅前,ja-Hrkt,たかじょうえきまえ
高城駅前,en,Takajo Eki Mae
高城駅前,ko,다카조에키마에
高城駅前,zh-cn,高城站前
高城駅前,zh-tw,高城站前
大向,ja,大向
大向,ja-Hrkt,おおむかい
葛木入口,ja,葛木入口
葛木入口,ja-Hrkt,かつらぎいりぐち
乗越,ja,乗越
乗越,ja-Hrkt,のりこえ
乗越,en,Norikoe
乗越,ko,노리코에
乗越,zh-cn,乘越
乗越,zh-tw,乘越
垣河内,ja,垣河内
垣河内,ja-Hrkt,かきがわち
垣河内,en,Kakigawachi
垣河内,ko,가키가와치
垣河内,zh-cn,垣河内
垣河内,zh-tw,垣河內
風無,ja,風無
風無,ja-Hrkt,かざなし
風無,en,Kazanashi
風無,ko,가자나시
風無,zh-cn,風無
風無,zh-tw,风无
緑が丘五丁目,ja,緑が丘五丁目
緑が丘五丁目,ja-Hrkt,みどりがおかごちょうめ
大迫,ja,大迫
大迫,ja-Hrkt,おおさこ
けやき台公園前,ja,けやき台公園前
けやき台公園前,ja-Hrkt,けやきだいこうえんまえ
けやき台公園前,en,Keyakidai Koen Mae
けやき台公園前,ko,게야키다이코엔마에
けやき台公園前,zh-cn,榉台公园前
けやき台公園前,zh-tw,櫸台公園前
片嶺,ja,片嶺
片嶺,ja-Hrkt,かたみね
片嶺,en,Katamine
片嶺,ko,가타미네
片嶺,zh-cn,片岭
片嶺,zh-tw,片嶺
新良橋,ja,新良橋
新良橋,ja-Hrkt,しんらばし
新良橋,en,Shinrabashi
新良橋,ko,신라바시
新良橋,zh-cn,新良桥
新良橋,zh-tw,新良橋
産業科学技術センター,en,Sangyo Kagaku Gijutsu Center
産業科学技術センター,ko,산교카가쿠기주쓰센터
産業科学技術センター,zh-cn,产业科学技术中心
産業科学技術センター,zh-tw,產業科學技術中心
滝尾校区公民館前,en,Takio Koku Kominkan Mae
滝尾校区公民館前,ko,타키오공민관전
滝尾校区公民館前,zh-cn,泷尾校区公民馆前
滝尾校区公民館前,zh-tw,瀧尾校區公民館前
広原,ja,広原
広原,ja-Hrkt,ひろわら
広原,en,Hirowara
広原,ko,히로와라
広原,zh-cn,广原
広原,zh-tw,廣原
東雲校前,ja,東雲校前
東雲校前,ja-Hrkt,しののめこうまえ
法勝台３丁目,ja,法勝台３丁目
法勝台３丁目,ja-Hrkt,ほうしょうだいさんちょうめ
法勝台３丁目,en,Hoshodai 3 Chome
法勝台３丁目,ko,호쇼다이산초메
法勝台３丁目,zh-cn,法胜台３丁目
法勝台３丁目,zh-tw,法勝台３丁目
西萩原,en,Nishi Hagiwara
西萩原,ko,니시하기와라
西萩原,zh-cn,西萩原
西萩原,zh-tw,西萩原
下角,en,Shimokado
下角,ko,시모카도
下角,zh-cn,下角
下角,zh-tw,下角
くわ津留,ja,くわ津留
佐伯駅,ja,佐伯駅
佐伯駅,ja-Hrkt,さいきえき
天然塚,ja,天然塚
天然塚,ja-Hrkt,てんねんづか
天然塚,en,Tennenzuka
天然塚,ko,덴넨즈카
天然塚,zh-cn,天然冢
天然塚,zh-tw,天然塚
竹場,ja,竹場
竹場,ja-Hrkt,たけば
竹場,en,Takeba
竹場,ko,다케바
竹場,zh-cn,竹场
竹場,zh-tw,竹場
上田尻,en,Kami Tajiri
上田尻,ko,가미타지리
上田尻,zh-cn,上田尻
上田尻,zh-tw,上田尻
稲垣,ja,稲垣
稲垣,ja-Hrkt,いながき
臼杵石仏,ja,臼杵石仏
臼杵石仏,ja-Hrkt,うすきせきぶつ
臼杵石仏,en,Usuki Sekibutsu
臼杵石仏,ko,우스키세키부쓰
臼杵石仏,zh-cn,臼杵石佛
臼杵石仏,zh-tw,臼杵石佛
道の駅さがのせき,ja,道の駅さがのせき
道の駅さがのせき,ja-Hrkt,みちのえきさがのせき
道の駅さがのせき,en,Michinoeki Saganoseki
花園,ja,花園
花園,ja-Hrkt,はなぞの
花園,en,Hanazono
花園,ko,하나조노
花園,zh-cn,花园
花園,zh-tw,花園
上種具,ja,上種具
上種具,ja-Hrkt,かみたねぐ
上種具,en,Kami Tanegu
上種具,ko,가미타네구
上種具,zh-cn,上种具
上種具,zh-tw,上種具
神崎中学校前,ja,神崎中学校前
神崎中学校前,ja-Hrkt,こうざきちゅうがっこうまえ
医大ヶ丘１丁目,ja,医大ヶ丘１丁目
医大ヶ丘１丁目,ja-Hrkt,いだいがおかいっちょうめ
医大ヶ丘１丁目,en,Idaigaoka 1 Chome
医大ヶ丘１丁目,ko,이다이가오카잇초메
医大ヶ丘１丁目,zh-cn,医大丘１丁目
医大ヶ丘１丁目,zh-tw,醫大丘１丁目
下松岡,en,Shimo Matsuoka
下松岡,ko,시모마쓰오카
下松岡,zh-cn,下松冈
下松岡,zh-tw,下松岡
高江ハイツ入口,ja,高江ハイツ入口
高江ハイツ入口,ja-Hrkt,たかえはいついりぐち
高江ハイツ入口,en,Takae Heights Iriguchi
高江ハイツ入口,ko,다카에하이츠이리구치
高江ハイツ入口,zh-cn,高江住宅区入口
高江ハイツ入口,zh-tw,高江公寓入口
軒田,ja,軒田
軒田,ja-Hrkt,のきだ
軒田,en,Nokida
軒田,ko,노키다
軒田,zh-cn,轩田
軒田,zh-tw,軒田
ホルトホール大分,ja,ホルトホール大分
ホルトホール大分,ja-Hrkt,ほるとほーるおおいた
石鎚山前,ja,石鎚山前
石鎚山前,ja-Hrkt,いしづちさんまえ
石鎚山前,en,Ishizuchisan Mae
石鎚山前,ko,이시즈치산마에
石鎚山前,zh-cn,石锤山前
石鎚山前,zh-tw,石錘山前
新港,ja,新港
新港,ja-Hrkt,しんみなと
西町,ja,西町
西町,ja-Hrkt,にしまち
西町,en,Nishimachi
西町,ko,니시마치
西町,zh-cn,西町
西町,zh-tw,西町
高尾山公園入口,en,Takaoyama Koen Iriguchi
高尾山公園入口,ko,다카오야마코엔이리구치
高尾山公園入口,zh-cn,高尾山公园入口
高尾山公園入口,zh-tw,高尾山公園入口
桟敷,ja,桟敷
桟敷,ja-Hrkt,さじき
桟敷,en,Sajiki
桟敷,ko,사지키
桟敷,zh-cn,棧敷
桟敷,zh-tw,栈敷
要町,en,Kanamemachi
要町,ko,가나메마치
要町,zh-cn,要町
要町,zh-tw,要町
直見駅前,ja,直見駅前
