trans_id,lang,translation
岩屋寺,zh-tw,岩屋寺
蒲戸,ja,蒲戸
蒲戸,ja-Hrkt,かまど
宮崎台,ja,宮崎台
宮崎台,ja-Hrkt,みやざきだい
宮崎台,en,Miyazakidai
宮崎台,ko,미야자키다이
宮崎台,zh-cn,宫崎台
宮崎台,zh-tw,宮崎台
光吉公園前,ja,光吉公園前
光吉公園前,ja-Hrkt,みつよしこうえんまえ
光吉公園前,en,Mitsuyoshi Koen Mae
光吉公園前,ko,미쓰요시코엔마에
光吉公園前,zh-cn,光吉公园前
光吉公園前,zh-tw,光吉公園前
桃園団地中,ja,桃園団地中
桃園団地中,ja-Hrkt,ももぞのだんちなか
桃園団地中,en,Momozono Danchi Naka
桃園団地中,ko,모모조노단치나카
桃園団地中,zh-cn,桃园团地中
桃園団地中,zh-tw,桃園團地中
中の島東町,ja,中の島東町
中の島東町,ja-Hrkt,なかのしまひがしまち
鍛治屋橋,ja,鍛治屋橋
鍛治屋橋,ja-Hrkt,かじやばし
府坂,ja,府坂
府坂,ja-Hrkt,ふさか
府坂,en,Fusaka
府坂,ko,후사카
府坂,zh-cn,府坂
府坂,zh-tw,府坂
岸の上,ja,岸の上
岸の上,ja-Hrkt,きしのうえ
岸の上,en,Kishinoue
岸の上,ko,기시노우에
岸の上,zh-cn,岸之上
岸の上,zh-tw,岸之上
大分医療センター,ja,大分医療センター
大分医療センター,ja-Hrkt,おおいたいりょうせんたー
西田病院,ja,西田病院
西田病院,ja-Hrkt,にしだびょういん
天然塚東,ja,天然塚東
天然塚東,ja-Hrkt,てんねんづかひがし
天然塚東,en,Tennenzuka Higashi
天然塚東,ko,덴넨즈카히가시
天然塚東,zh-cn,天然冢东
天然塚東,zh-tw,天然塚東
本神崎,ja,本神崎
本神崎,ja-Hrkt,ほんこうざき
本神崎,en,Honkozaki
本神崎,ko,혼코자키
本神崎,zh-cn,本神崎
本神崎,zh-tw,本神崎
篭の瀬,ja,篭の瀬
篭の瀬,ja-Hrkt,かごのせ
賀来新川,ja,賀来新川
賀来新川,ja-Hrkt,かくしんかわ
田中北,ja,田中北
田中北,ja-Hrkt,たなかきた
北団地入口,ja,北団地入口
北団地入口,ja-Hrkt,きただんちいりぐち
北団地入口,en,Kita Danchi Iriguchi
北団地入口,ko,기타단치이리구치
北団地入口,zh-cn,北团地入口
北団地入口,zh-tw,北團地入口
薬師堂前,ja,薬師堂前
薬師堂前,ja-Hrkt,やくしどうまえ
薬師堂前,en,Yakushido Mae
薬師堂前,ko,야쿠시도마에
薬師堂前,zh-cn,药师堂前
薬師堂前,zh-tw,藥師堂前
高城,ja,高城
高城,ja-Hrkt,たかじょう
奥山公園前,ja,奥山公園前
奥山公園前,ja-Hrkt,おくやまこうえんまえ
奥山公園前,en,Okuyama Koen Mae
奥山公園前,ko,오쿠야마코엔마에
奥山公園前,zh-cn,奥山公园前
奥山公園前,zh-tw,奧山公園前
浜浦,ja,浜浦
浜浦,ja-Hrkt,はまうら
梅が丘公園前,ja,梅が丘公園前
梅が丘公園前,ja-Hrkt,うめがおかこうえんまえ
光吉台,ja,光吉台
光吉台,ja-Hrkt,みつよしだい
光吉台,en,Mitsuyoshidai [Mitsuyoshidai Chuogawa]
光吉台,ko,미쓰요시다이 [미쓰요시다이추오가와]
光吉台,zh-cn,光吉台［光吉台中央侧］
光吉台,zh-tw,光吉台［光吉台中央側］
三川下一丁目,ja,三川下一丁目
三川下一丁目,ja-Hrkt,みつがわしもいっちょうめ
遠久原,ja,遠久原
遠久原,ja-Hrkt,とうくばる
遠久原,en,Tokubaru
遠久原,ko,도쿠바루
遠久原,zh-cn,远久原
遠久原,zh-tw,遠久原
向之原駅,ja,向之原駅
向之原駅,ja-Hrkt,むかいのはるえき
中央通り三丁目,ja,中央通り三丁目
中央通り三丁目,ja-Hrkt,ちゅうおうどおりさんちょうめ
中央通り三丁目,en,Chuo Dori 3 Chome
中央通り三丁目,ko,추오도리산초메
中央通り三丁目,zh-cn,中央通三丁目
中央通り三丁目,zh-tw,中央通三丁目
藤原,ja,藤原
藤原,ja-Hrkt,ふじわら
藤原,en,Fujiwara
藤原,ko,후지와라
藤原,zh-cn,藤原
藤原,zh-tw,藤原
下城,ja,下城
田原入口,ja,田原入口
田原入口,ja-Hrkt,たばるいりぐち
小野鶴南二丁目,ja,小野鶴南二丁目
小野鶴南二丁目,ja-Hrkt,おのづるみなみにちょうめ
小野鶴南二丁目,en,Onozuru Minami 2 Chome
小野鶴南二丁目,ko,오노즈루미나미니초메
小野鶴南二丁目,zh-cn,小野鹤南二丁目
小野鶴南二丁目,zh-tw,小野鶴南二丁目
廻栖,ja,廻栖
廻栖,ja-Hrkt,めぐす
住吉橋,ja,住吉橋
住吉橋,ja-Hrkt,すみよしばし
住吉橋,en,Sumiyoshibashi
住吉橋,ko,스미요시바시
住吉橋,zh-cn,住吉桥
住吉橋,zh-tw,住吉橋
上河内,ja,上河内
上河内,ja-Hrkt,かみかわち
宮河内団地入口,ja,宮河内団地入口
宮河内団地入口,ja-Hrkt,みやかわちだんちいりぐち
上田尻,ja,上田尻
上田尻,ja-Hrkt,かみたじり
楠木生,ja,楠木生
楠木生,ja-Hrkt,くすぎゅう
グリーンプラザ北,ja,グリーンプラザ北
グリーンプラザ北,ja-Hrkt,ぐりーんぷらざきた
グリーンプラザ北,en,Green Plaza Kita
グリーンプラザ北,ko,그린플라자키타
グリーンプラザ北,zh-cn,绿色广场北
グリーンプラザ北,zh-tw,綠色廣場北
パークシティ明野中央,ja,パークシティ明野中央
パークシティ明野中央,ja-Hrkt,ぱーくしてぃあけのちゅうおう
パークシティ明野中央,en,Park City Akeno Chuo
パークシティ明野中央,ko,파크시티아케노추오
パークシティ明野中央,zh-cn,公园城明野中央
パークシティ明野中央,zh-tw,公園城明野中央
明野西小前,ja,明野西小前
明野西小前,ja-Hrkt,あけのにししょうまえ
明野西小前,en,Akeno Nishisho Mae
明野西小前,ko,아케노니시쇼마에
明野西小前,zh-cn,明野西小前
明野西小前,zh-tw,明野西小前
文化体育センター前,ja,文化体育センター前
文化体育センター前,ja-Hrkt,ぶんかたいいくせんたーまえ
城東中学校前,ja,城東中学校前
城東中学校前,ja-Hrkt,じょうとうちゅうがっこうまえ
城東中学校前,en,Joto Chugakko Mae [Akeno Danchi Sen]
城東中学校前,ko,조토추갓코마에 [아케노단치선]
城東中学校前,zh-cn,城东中学校前［明野团地线］
城東中学校前,zh-tw,城東中學校前［明野團地線］
坂の市小学校前,ja,坂の市小学校前
坂の市小学校前,ja-Hrkt,さかのいちしょうがっこうまえ
坂の市小学校前,en,Sakanoichi Shogakko Mae
坂の市小学校前,ko,사카노이치쇼갓코마에
坂の市小学校前,zh-cn,坂之市小学校前
坂の市小学校前,zh-tw,坂之市小學校前
椿が丘団地,ja,椿が丘団地
椿が丘団地,ja-Hrkt,つばきがおかだんち
椿が丘団地,en,Tsubakigaoka Danchi
椿が丘団地,ko,쓰바키가오카단치
椿が丘団地,zh-cn,椿丘团地
椿が丘団地,zh-tw,椿丘團地
内町入口,ja,内町入口
内町入口,ja-Hrkt,うちまちいりぐち
うめタウン３２６,ja,うめタウン３２６
うめタウン３２６,ja-Hrkt,うめたうんさんにろく
うめタウン３２６,en,Ume Town 326
うめタウン３２６,ko,우메타운326
うめタウン３２６,zh-cn,宇目城３２６
うめタウン３２６,zh-tw,宇目城３２６
敷戸南,en,Shikido Minami
敷戸南,ko,시키도미나미
敷戸南,zh-cn,敷户南
敷戸南,zh-tw,敷戶南
明野緑町,ja,明野緑町
明野緑町,ja-Hrkt,あけのみどりまち
明野緑町,en,Akeno Midorimachi
明野緑町,ko,아케노미도리마치
明野緑町,zh-cn,明野绿町
明野緑町,zh-tw,明野綠町
大分大学入口,ja,大分大学入口
大分大学入口,ja-Hrkt,おおいただいがくいりぐち
大分大学入口,en,Oita Daigaku Iriguchi
大分大学入口,ko,오이타다이가쿠이리구치
大分大学入口,zh-cn,大分大学入口
大分大学入口,zh-tw,大分大學入口
横塚中央,ja,横塚中央
横塚中央,ja-Hrkt,よこつかちゅうおう
横塚中央,en,Yokotsuka Chuo
横塚中央,ko,요코쓰카추오
横塚中央,zh-cn,横冢中央
横塚中央,zh-tw,橫塚中央
毛井,ja,毛井
毛井,ja-Hrkt,けい
毛井,en,Kei
毛井,ko,게이
毛井,zh-cn,毛井
毛井,zh-tw,毛井
花木,ja,花木
花木,ja-Hrkt,はなぎ
花木,en,Hanagi
花木,ko,하나기
花木,zh-cn,花木
花木,zh-tw,花木
成松,ja,成松
成松,ja-Hrkt,なりまつ
平田,ja,平田
平田,ja-Hrkt,ひいだ
小野鶴東,ja,小野鶴東
小野鶴東,ja-Hrkt,おのづるひがし
少林寺前,ja,少林寺前
少林寺前,ja-Hrkt,しょうりんじまえ
少林寺前,en,Shorinji Mae
少林寺前,ko,쇼린지마에
少林寺前,zh-cn,少林寺前
少林寺前,zh-tw,少林寺前
久原,ja,久原
久原,ja-Hrkt,くばる
久原,en,Kubaru [Oita]
久原,ko,구바루 [오이타]
久原,zh-cn,久原［大分］
久原,zh-tw,久原［大分］
要町,ja,要町
要町,ja-Hrkt,かなめまち
平,ja,平
平,ja-Hrkt,ひら
平,en,Hira [Oita]
平,ko,히라 [오이타]
平,zh-cn,平［大分］
平,zh-tw,平［大分］
滝尾校区公民館前,ja,滝尾校区公民館前
滝尾校区公民館前,ja-Hrkt,たきおこうくこうみんかんまえ
ジャパンセミコンダクター前,ja,ジャパンセミコンダクター前
ジャパンセミコンダクター前,ja-Hrkt,じゃぱんせみこんだくたーまえ
尾崎,ja,尾崎
尾崎,ja-Hrkt,おさき
上河原,ja,上河原
上河原,ja-Hrkt,かみがわら
葛港,ja,葛港
葛港,ja-Hrkt,かづらみなと
葛港,en,Kazuraminato
葛港,ko,가즈라미나토
葛港,zh-cn,葛港
葛港,zh-tw,葛港
年の神,ja,年の神
年の神,ja-Hrkt,としのかみ
年の神,en,Toshinokami
年の神,ko,도시노카미
年の神,zh-cn,年之神
年の神,zh-tw,年之神
大道校区公民館前,ja,大道校区公民館前
大道校区公民館前,ja-Hrkt,おおみちこうくこうみんかんまえ
畑野浦,ja,畑野浦
畑野浦,ja-Hrkt,はたのうら
富士見が丘東,ja,富士見が丘東
富士見が丘東,ja-Hrkt,ふじみがおかひがし
大道校区公民館前,en,Omichi Koku Kominkan Mae
大道校区公民館前,ko,오미치코쿠코민칸마에
大道校区公民館前,zh-cn,大道校区公民馆前
大道校区公民館前,zh-tw,大道校區公民館前
歴史資料館前,ja,歴史資料館前
歴史資料館前,ja-Hrkt,れきししりょうかんまえ
大分高専,en,Oita Kosen
大分高専,ko,오이타코센
大分高専,zh-cn,大分高专
大分高専,zh-tw,大分高專
向船場,ja,向船場
向船場,ja-Hrkt,むかいふなば
向船場,en,Mukaifunaba
向船場,ko,무카이후나바
向船場,zh-cn,向船場
向船場,zh-tw,向船场
片山入口,ja,片山入口
片山入口,ja-Hrkt,かたやまいりぐち
高尾山公園入口,ja,高尾山公園入口
高尾山公園入口,ja-Hrkt,たかおやまこうえんいりぐち
板屋,ja,板屋
板屋,ja-Hrkt,いたや
金池南２丁目,ja,金池南２丁目
金池南２丁目,ja-Hrkt,かないけみなみにちょうめ
大南団地中央,ja,大南団地中央
大南団地中央,ja-Hrkt,だいなんだんちちゅうおう
公園通り東,ja,公園通り東
公園通り東,ja-Hrkt,こうえんどおりひがし
上北下郡,ja,上北下郡
上北下郡,ja-Hrkt,かみきたしもごおり
小志生木,ja,小志生木
小志生木,ja-Hrkt,こじゅうき
桑原下,ja,桑原下
桑原下,ja-Hrkt,くわばるしも
幸崎駅,ja,幸崎駅
幸崎駅,ja-Hrkt,こうざきえき
上河内,en,Kami Kawachi
上河内,ko,가미카와치
上河内,zh-cn,上河內
上河内,zh-tw,上河内
温井入口,ja,温井入口
温井入口,ja-Hrkt,ぬるいいりぐち
温井入口,en,Nurui Iriguchi
温井入口,ko,누루이이리구치
温井入口,zh-cn,温井入口
温井入口,zh-tw,溫井入口
寺司公民館入口,ja,寺司公民館入口
寺司公民館入口,ja-Hrkt,てらじこうみんかんいりぐち
塚野温泉入口,ja,塚野温泉入口
塚野温泉入口,ja-Hrkt,つかのおんせんいりぐち
塚野温泉入口,en,Tsukano Onsen Iriguchi
塚野温泉入口,ko,쓰카노온센이리구치
塚野温泉入口,zh-cn,冢野温泉入口
塚野温泉入口,zh-tw,塚野溫泉入口
ふじが丘北,ja,ふじが丘北
ふじが丘北,ja-Hrkt,ふじがおかきた
西萩原,ja,西萩原
西萩原,ja-Hrkt,にしはぎわら
中の島東町,en,Nakanoshima Higashimachi
中の島東町,ko,나카노시마히가시마치
中の島東町,zh-cn,中之島東町
中の島東町,zh-tw,中之岛东町
仲西町,en,Nakanishimachi
仲西町,ko,나카니시마치
仲西町,zh-cn,仲西町
仲西町,zh-tw,仲西町
ゆめが丘,ja,ゆめが丘
ゆめが丘,ja-Hrkt,ゆめがおか
元田,ja,元田
元田,ja-Hrkt,もとだ
高田南,ja,高田南
高田南,ja-Hrkt,たかたみなみ
高田南,en,Takata Minami
高田南,ko,다카타미나미
高田南,zh-cn,高田南
高田南,zh-tw,高田南
南太平寺,ja,南太平寺
南太平寺,ja-Hrkt,みなみたいへいじ
南太平寺,en,Minami Taiheiji
南太平寺,ko,미나미타이헤이지
南太平寺,zh-cn,南太平寺
南太平寺,zh-tw,南太平寺
上新田,ja,上新田
上新田,ja-Hrkt,かみしんでん
正金,ja,正金
正金,ja-Hrkt,しょうきん
宗方台北,ja,宗方台北
宗方台北,ja-Hrkt,むなかただいきた
丸田,ja,丸田
丸田,ja-Hrkt,まるた
丸田,en,Maruta [Oita]
丸田,ko,마루타 [오이타]
丸田,zh-cn,丸田［大分］
丸田,zh-tw,丸田［大分］
三ヶ田町,ja,三ヶ田町
三ヶ田町,ja-Hrkt,みけたまち
三ッ川下,ja,三ッ川下
三ッ川下,ja-Hrkt,みつがわしも
六坊町,ja,六坊町
六坊町,ja-Hrkt,ろくぼうまち
六坊町,en,Rokubomachi
六坊町,ko,로쿠보마치
六坊町,zh-cn,六坊町
六坊町,zh-tw,六坊町
明野中町,ja,明野中町
明野中町,ja-Hrkt,あけのなかまち
金の手,ja,金の手
金の手,ja-Hrkt,かねのて
仏光寺前,ja,仏光寺前
仏光寺前,ja-Hrkt,ぶっこうじまえ
女島橋,ja,女島橋
女島橋,ja-Hrkt,めじまばし
女島橋,en,Mejimabashi
女島橋,ko,메지마바시
女島橋,zh-cn,女島橋
女島橋,zh-tw,女岛桥
鶴崎橋,ja,鶴崎橋
鶴崎橋,ja-Hrkt,つるさきばし
鶴崎橋,en,Tsurusakibashi
鶴崎橋,ko,쓰루사키바시
鶴崎橋,zh-cn,鹤崎桥
鶴崎橋,zh-tw,鶴崎橋
野田入口,ja,野田入口
野田入口,ja-Hrkt,のだいりぐち
野田入口,en,Noda Iriguchi [Oitashi]
野田入口,ko,노다이리구치 [오이타시]
野田入口,zh-cn,野田入口［大分市］
野田入口,zh-tw,野田入口［大分市］
志村,ja,志村
志村,ja-Hrkt,しむら
志村,en,Shimura
志村,ko,시무라
志村,zh-cn,志村
志村,zh-tw,志村
ふじが丘山手,ja,ふじが丘山手
ふじが丘山手,ja-Hrkt,ふじがおかやまて
津留小学校前,ja,津留小学校前
津留小学校前,ja-Hrkt,つるしょうがっこうまえ
大在政所,ja,大在政所
大在政所,ja-Hrkt,おおざいまどころ
産業科学技術センター,ja,産業科学技術センター
産業科学技術センター,ja-Hrkt,さんぎょうかがくぎじゅつせんたー
東中山,ja,東中山
東中山,ja-Hrkt,ひがしなかやま
東中山,en,Higashi Nakayama
東中山,ko,히가시나카야마
東中山,zh-cn,東中山
東中山,zh-tw,东中山
萩原住吉町,ja,萩原住吉町
萩原住吉町,ja-Hrkt,はぎわらすみよしまち
古宮,ja,古宮
古宮,ja-Hrkt,ふるみや
古宮,en,Furumiya
古宮,ko,후루미야
古宮,zh-cn,古宫
古宮,zh-tw,古宮
高江中央１丁目,ja,高江中央１丁目
高江中央１丁目,ja-Hrkt,たかえちゅうおういっちっうめ
高江中央１丁目,en,Takae Chuo 1 Chome
