trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,08:59:00,08:59:00,5344 9,2,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:01:00,09:01:00,5329 9,3,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:03:00,09:03:00,5332 9,4,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:04:00,09:04:00,5333 9,5,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:05:00,09:05:00,5334 9,6,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:06:00,09:06:00,5335 9,7,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:09:00,09:09:00,5336 9,8,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:10:00,09:10:00,5337 9,9,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:11:00,09:11:00,5338 9,10,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:12:00,09:12:00,5339 9,11,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:12:00,09:12:00,5340 9,12,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:13:00,09:13:00,5341 9,13,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:17:00,09:17:00,5314 9,14,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:19:00,09:19:00,5313 9,15,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:21:00,09:21:00,5307 9,16,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:24:00,09:24:00,5306 9,17,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:26:00,09:26:00,5305 9,18,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:27:00,09:27:00,5304 9,19,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:29:00,09:29:00,5303 9,20,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:30:00,09:30:00,5302 9,21,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:30:00,09:30:00,5301 9,22,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:32:00,09:32:00,3010 2,23,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:33:00,09:33:00,5343 9,24,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:34:00,09:34:00,3009 2,25,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:35:00,09:35:00,5342 9,26,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:37:00,09:37:00,3008 2,27,野津市,0,0,,
846c96f7-2da7-4e9f-8fa1-0fcba2eba661,09:38:00,09:38:00,5263 2,28,野津市,1,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:10:00,12:10:00,5042 2,1,黒島入口,0,1,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:11:00,12:11:00,5041 2,2,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:11:00,12:11:00,5039 2,3,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:13:00,12:13:00,5361 1,4,黒島入口,0,0,,
fdfc475a-115a-473e-8c47-14fb1e48f88d,12:14:00,12:14:00,5037 2,5,黒島入口,0,0,,
