service_id,date,exception_type
日曜・祝日,20260301,2
土曜,20260307,1
平日（月～金）,20260307,2
日曜・祝日,20260307,2
土曜,20260308,1
平日（月～金）,20260308,2
日曜・祝日,20260308,2
土曜,20260314,1
平日（月～金）,20260314,2
日曜・祝日,20260314,2
土曜,20260315,1
平日（月～金）,20260315,2
日曜・祝日,20260315,2
土曜,20260320,1
平日（月～金）,20260320,2
日曜・祝日,20260320,2
土曜,20260321,1
平日（月～金）,20260321,2
日曜・祝日,20260321,2
土曜,20260322,1
平日（月～金）,20260322,2
日曜・祝日,20260322,2
土曜,20260328,1
平日（月～金）,20260328,2
日曜・祝日,20260328,2
土曜,20260329,1
平日（月～金）,20260329,2
日曜・祝日,20260329,2
土曜,20260404,1
平日（月～金）,20260404,2
日曜・祝日,20260404,2
土曜,20260405,1
平日（月～金）,20260405,2
日曜・祝日,20260405,2
土曜,20260411,1
平日（月～金）,20260411,2
日曜・祝日,20260411,2
土曜,20260412,1
平日（月～金）,20260412,2
日曜・祝日,20260412,2
土曜,20260418,1
平日（月～金）,20260418,2
日曜・祝日,20260418,2
土曜,20260419,1
平日（月～金）,20260419,2
日曜・祝日,20260419,2
土曜,20260425,1
平日（月～金）,20260425,2
日曜・祝日,20260425,2
土曜,20260426,1
平日（月～金）,20260426,2
日曜・祝日,20260426,2
土曜,20260429,1
平日（月～金）,20260429,2
日曜・祝日,20260429,2
土曜,20260502,1
平日（月～金）,20260502,2
日曜・祝日,20260502,2
土曜,20260503,1
平日（月～金）,20260503,2
日曜・祝日,20260503,2
土曜,20260504,1
平日（月～金）,20260504,2
日曜・祝日,20260504,2
土曜,20260505,1
平日（月～金）,20260505,2
日曜・祝日,20260505,2
土曜,20260506,1
平日（月～金）,20260506,2
日曜・祝日,20260506,2
土曜,20260509,1
平日（月～金）,20260509,2
日曜・祝日,20260509,2
土曜,20260510,1
平日（月～金）,20260510,2
日曜・祝日,20260510,2
土曜,20260516,1
平日（月～金）,20260516,2
日曜・祝日,20260516,2
土曜,20260517,1
平日（月～金）,20260517,2
日曜・祝日,20260517,2
土曜,20260523,1
平日（月～金）,20260523,2
日曜・祝日,20260523,2
土曜,20260524,1
平日（月～金）,20260524,2
日曜・祝日,20260524,2
土曜,20260530,1
平日（月～金）,20260530,2
日曜・祝日,20260530,2
土曜,20260531,1
平日（月～金）,20260531,2
日曜・祝日,20260531,2
土曜,20260606,1
平日（月～金）,20260606,2
日曜・祝日,20260606,2
土曜,20260607,1
平日（月～金）,20260607,2
日曜・祝日,20260607,2
土曜,20260613,1
平日（月～金）,20260613,2
日曜・祝日,20260613,2
土曜,20260614,1
平日（月～金）,20260614,2
日曜・祝日,20260614,2
土曜,20260620,1
平日（月～金）,20260620,2
日曜・祝日,20260620,2
土曜,20260621,1
平日（月～金）,20260621,2
日曜・祝日,20260621,2
土曜,20260627,1
平日（月～金）,20260627,2
日曜・祝日,20260627,2
土曜,20260628,1
平日（月～金）,20260628,2
日曜・祝日,20260628,2
土曜,20260704,1
平日（月～金）,20260704,2
日曜・祝日,20260704,2
土曜,20260705,1
平日（月～金）,20260705,2
日曜・祝日,20260705,2
土曜,20260711,1
平日（月～金）,20260711,2
日曜・祝日,20260711,2
土曜,20260712,1
平日（月～金）,20260712,2
日曜・祝日,20260712,2
土曜,20260718,1
平日（月～金）,20260718,2
日曜・祝日,20260718,2
土曜,20260719,1
平日（月～金）,20260719,2
日曜・祝日,20260719,2
土曜,20260720,1
平日（月～金）,20260720,2
日曜・祝日,20260720,2
土曜,20260725,1
平日（月～金）,20260725,2
日曜・祝日,20260725,2
土曜,20260726,1
平日（月～金）,20260726,2
日曜・祝日,20260726,2
土曜,20260801,1
平日（月～金）,20260801,2
日曜・祝日,20260801,2
土曜,20260802,1
平日（月～金）,20260802,2
日曜・祝日,20260802,2
土曜,20260808,1
平日（月～金）,20260808,2
日曜・祝日,20260808,2
土曜,20260809,1
平日（月～金）,20260809,2
日曜・祝日,20260809,2
土曜,20260811,1
平日（月～金）,20260811,2
日曜・祝日,20260811,2
土曜,20260813,1
平日（月～金）,20260813,2
日曜・祝日,20260813,2
土曜,20260814,1
