fare_id,route_id,origin_id,destination_id,contains_id
3320001009575_150_00,8025051,8304 9,8044 1,
3320001009575_150_00,8025051,8304 9,8384 2,
3320001009575_150_00,8025051,8304 9,8043 2,
3320001009575_150_00,8025051,8304 9,8045 1,
3320001009575_150_00,8025051,8304 9,8050 9,
3320001009575_150_00,8025051,8048 1,8385 2,
3320001009575_150_00,8025051,8048 1,8047 1,
3320001009575_150_00,8025051,8048 1,8382 9,
3320001009575_150_00,8025051,8048 1,8381 9,
3320001009575_150_00,8025051,8048 1,8046 1,
3320001009575_150_00,8025051,8048 1,8042 2,
3320001009575_150_00,8025051,8048 1,8383 9,
3320001009575_150_00,8025051,8048 1,8044 1,
3320001009575_150_00,8025051,8048 1,8384 2,
3320001009575_150_00,8025051,8048 1,8043 2,
3320001009575_150_00,8025051,8048 1,8045 1,
3320001009575_150_00,8025051,8048 1,8050 9,
3320001009575_150_00,8025051,8302 9,8385 2,
3320001009575_150_00,8025051,8302 9,8047 1,
3320001009575_150_00,8025051,8302 9,8048 1,
3320001009575_150_00,8025051,8302 9,8382 9,
3320001009575_150_00,8025051,8302 9,8381 9,
3320001009575_150_00,8025051,8302 9,8046 1,
3320001009575_150_00,8025051,8302 9,8042 2,
3320001009575_150_00,8025051,8302 9,8301 9,
3320001009575_150_00,8025051,8302 9,8383 9,
3320001009575_150_00,8025051,8302 9,8044 1,
3320001009575_150_00,8025051,8302 9,8384 2,
3320001009575_150_00,8025051,8302 9,8043 2,
3320001009575_150_00,8025051,8302 9,8045 1,
3320001009575_150_00,8025051,8302 9,8050 9,
3320001009575_150_00,8025051,8382 9,8385 2,
3320001009575_150_00,8025051,8382 9,8383 9,
3320001009575_150_00,8025051,8382 9,8384 2,
3320001009575_150_00,8025051,8381 9,8385 2,
3320001009575_150_00,8025051,8381 9,8382 9,
3320001009575_150_00,8025051,8381 9,8383 9,
3320001009575_150_00,8025051,8381 9,8384 2,
3320001009575_150_00,8025051,8046 1,8385 2,
3320001009575_150_00,8025051,8046 1,8382 9,
3320001009575_150_00,8025051,8046 1,8381 9,
3320001009575_150_00,8025051,8046 1,8042 2,
3320001009575_150_00,8025051,8046 1,8383 9,
3320001009575_150_00,8025051,8046 1,8044 1,
3320001009575_150_00,8025051,8046 1,8384 2,
3320001009575_150_00,8025051,8046 1,8043 2,
3320001009575_150_00,8025051,8046 1,8045 1,
3320001009575_150_00,8025051,8042 2,8385 2,
3320001009575_150_00,8025051,8042 2,8382 9,
3320001009575_150_00,8025051,8042 2,8381 9,
3320001009575_150_00,8025051,8042 2,8383 9,
3320001009575_150_00,8025051,8042 2,8384 2,
3320001009575_150_00,8025051,8301 9,8385 2,
3320001009575_150_00,8025051,8301 9,8047 1,
3320001009575_150_00,8025051,8301 9,8048 1,
3320001009575_150_00,8025051,8301 9,8382 9,
3320001009575_150_00,8025051,8301 9,8381 9,
3320001009575_150_00,8025051,8301 9,8046 1,
3320001009575_150_00,8025051,8301 9,8042 2,
3320001009575_150_00,8025051,8301 9,8383 9,
3320001009575_150_00,8025051,8301 9,8044 1,
3320001009575_150_00,8025051,8301 9,8384 2,
3320001009575_150_00,8025051,8301 9,8043 2,
3320001009575_150_00,8025051,8301 9,8045 1,
3320001009575_150_00,8025051,8301 9,8050 9,
3320001009575_150_00,8025051,8383 9,8385 2,
3320001009575_150_00,8025051,8383 9,8384 2,
3320001009575_150_00,8025051,4101 1,8385 2,
3320001009575_150_00,8025051,4101 1,8047 1,
3320001009575_150_00,8025051,4101 1,8303 1,
3320001009575_150_00,8025051,4101 1,8304 9,
3320001009575_150_00,8025051,4101 1,8048 1,
3320001009575_150_00,8025051,4101 1,8302 9,
3320001009575_150_00,8025051,4101 1,8382 9,
3320001009575_150_00,8025051,4101 1,8381 9,
3320001009575_150_00,8025051,4101 1,8046 1,
3320001009575_150_00,8025051,4101 1,8042 2,
3320001009575_150_00,8025051,4101 1,8301 9,
3320001009575_150_00,8025051,4101 1,8383 9,
3320001009575_150_00,8025051,4101 1,8044 1,
3320001009575_150_00,8025051,4101 1,8384 2,
3320001009575_150_00,8025051,4101 1,8043 2,
3320001009575_150_00,8025051,4101 1,8045 1,
3320001009575_150_00,8025051,4101 1,8050 9,
3320001009575_150_00,8025051,8044 1,8385 2,
3320001009575_150_00,8025051,8044 1,8382 9,
3320001009575_150_00,8025051,8044 1,8381 9,
3320001009575_150_00,8025051,8044 1,8042 2,
3320001009575_150_00,8025051,8044 1,8383 9,
3320001009575_150_00,8025051,8044 1,8384 2,
3320001009575_150_00,8025051,8044 1,8043 2,
3320001009575_150_00,8025051,8384 2,8385 2,
3320001009575_150_00,8025051,8043 2,8385 2,
3320001009575_150_00,8025051,8043 2,8382 9,
3320001009575_150_00,8025051,8043 2,8381 9,
3320001009575_150_00,8025051,8043 2,8042 2,
3320001009575_150_00,8025051,8043 2,8383 9,
3320001009575_150_00,8025051,8043 2,8384 2,
3320001009575_150_00,8025051,8045 1,8385 2,
3320001009575_150_00,8025051,8045 1,8382 9,
3320001009575_150_00,8025051,8045 1,8381 9,
3320001009575_150_00,8025051,8045 1,8042 2,
3320001009575_150_00,8025051,8045 1,8383 9,
3320001009575_150_00,8025051,8045 1,8044 1,
3320001009575_150_00,8025051,8045 1,8384 2,
3320001009575_150_00,8025051,8045 1,8043 2,
3320001009575_150_00,8025051,8050 9,8385 2,
3320001009575_150_00,8025051,8050 9,8047 1,
3320001009575_150_00,8025051,8050 9,8382 9,
3320001009575_150_00,8025051,8050 9,8381 9,
3320001009575_150_00,8025051,8050 9,8046 1,
3320001009575_150_00,8025051,8050 9,8042 2,
3320001009575_150_00,8025051,8050 9,8383 9,
3320001009575_150_00,8025051,8050 9,8044 1,
3320001009575_150_00,8025051,8050 9,8384 2,
3320001009575_150_00,8025051,8050 9,8043 2,
3320001009575_150_00,8025051,8050 9,8045 1,
3320001009575_150_00,8025051,8325 1,8385 2,
3320001009575_150_00,8025051,8325 1,8047 1,
3320001009575_150_00,8025051,8325 1,8303 1,
3320001009575_150_00,8025051,8325 1,8304 9,
3320001009575_150_00,8025051,8325 1,8048 1,
3320001009575_150_00,8025051,8325 1,8302 9,
3320001009575_150_00,8025051,8325 1,8382 9,
3320001009575_150_00,8025051,8325 1,8381 9,
3320001009575_150_00,8025051,8325 1,8046 1,
3320001009575_150_00,8025051,8325 1,8042 2,
3320001009575_150_00,8025051,8325 1,8301 9,
3320001009575_150_00,8025051,8325 1,8383 9,
3320001009575_150_00,8025051,8325 1,4101 1,
3320001009575_150_00,8025051,8325 1,8044 1,
3320001009575_150_00,8025051,8325 1,8384 2,
3320001009575_150_00,8025051,8325 1,8043 2,
3320001009575_150_00,8025051,8325 1,8045 1,
3320001009575_150_00,8025051,8325 1,8050 9,
3320001009575_150_00,8009074,8047 1,8046 1,
3320001009575_150_00,8009074,8047 1,8042 2,
3320001009575_150_00,8009074,8047 1,8041 2,
3320001009575_150_00,8009074,8047 1,8040 1,
3320001009575_150_00,8009074,8047 1,8044 1,
3320001009575_150_00,8009074,8047 1,8043 2,
3320001009575_150_00,8009074,8047 1,8045 1,
3320001009575_150_00,8009074,8303 1,8047 1,
3320001009575_150_00,8009074,8303 1,8048 1,
3320001009575_150_00,8009074,8303 1,8302 9,
3320001009575_150_00,8009074,8303 1,8046 1,
3320001009575_150_00,8009074,8303 1,8042 2,
3320001009575_150_00,8009074,8303 1,8041 2,
3320001009575_150_00,8009074,8303 1,8301 9,
3320001009575_150_00,8009074,8303 1,8040 1,
3320001009575_150_00,8009074,8303 1,8044 1,
3320001009575_150_00,8009074,8303 1,8043 2,
3320001009575_150_00,8009074,8303 1,8045 1,
3320001009575_150_00,8009074,8303 1,8050 9,
3320001009575_150_00,8009074,8304 9,8047 1,
3320001009575_150_00,8009074,8304 9,8303 1,
3320001009575_150_00,8009074,8304 9,8048 1,
3320001009575_150_00,8009074,8304 9,8302 9,
3320001009575_150_00,8009074,8304 9,8046 1,
3320001009575_150_00,8009074,8304 9,8042 2,
3320001009575_150_00,8009074,8304 9,8041 2,
3320001009575_150_00,8009074,8304 9,8301 9,
3320001009575_150_00,8009074,8304 9,8040 1,
3320001009575_150_00,8009074,8304 9,8044 1,
3320001009575_150_00,8009074,8304 9,8043 2,
3320001009575_150_00,8009074,8304 9,8045 1,
3320001009575_150_00,8009074,8304 9,8050 9,
3320001009575_150_00,8009074,8048 1,8047 1,
3320001009575_150_00,8009074,8048 1,8046 1,
3320001009575_150_00,8009074,8048 1,8042 2,
3320001009575_150_00,8009074,8048 1,8041 2,
3320001009575_150_00,8009074,8048 1,8040 1,
3320001009575_150_00,8009074,8048 1,8044 1,
3320001009575_150_00,8009074,8048 1,8043 2,
3320001009575_150_00,8009074,8048 1,8045 1,
3320001009575_150_00,8009074,8048 1,8050 9,
3320001009575_150_00,8009074,8302 9,8047 1,
3320001009575_150_00,8009074,8302 9,8048 1,
3320001009575_150_00,8009074,8302 9,8046 1,
3320001009575_150_00,8009074,8302 9,8042 2,
3320001009575_150_00,8009074,8302 9,8041 2,
3320001009575_150_00,8009074,8302 9,8301 9,
3320001009575_150_00,8009074,8302 9,8040 1,
3320001009575_150_00,8009074,8302 9,8044 1,
3320001009575_150_00,8009074,8302 9,8043 2,
3320001009575_150_00,8009074,8302 9,8045 1,
3320001009575_150_00,8009074,8302 9,8050 9,
3320001009575_150_00,8009074,8046 1,8042 2,
3320001009575_150_00,8009074,8046 1,8041 2,
3320001009575_150_00,8009074,8046 1,8040 1,
3320001009575_150_00,8009074,8046 1,8044 1,
3320001009575_150_00,8009074,8046 1,8043 2,
3320001009575_150_00,8009074,8046 1,8045 1,
3320001009575_150_00,8009074,8042 2,8041 2,
3320001009575_150_00,8009074,8042 2,8040 1,
3320001009575_150_00,8009074,8041 2,8040 1,
3320001009575_150_00,8009074,8301 9,8047 1,
3320001009575_150_00,8009074,8301 9,8048 1,
3320001009575_150_00,8009074,8301 9,8046 1,
3320001009575_150_00,8009074,8301 9,8042 2,
3320001009575_150_00,8009074,8301 9,8041 2,
3320001009575_150_00,8009074,8301 9,8040 1,
3320001009575_150_00,8009074,8301 9,8044 1,
3320001009575_150_00,8009074,8301 9,8043 2,
3320001009575_150_00,8009074,8301 9,8045 1,
3320001009575_150_00,8009074,8301 9,8050 9,
3320001009575_150_00,8009074,8044 1,8042 2,
3320001009575_150_00,8009074,8044 1,8041 2,
3320001009575_150_00,8009074,8044 1,8040 1,
3320001009575_150_00,8009074,8044 1,8043 2,
3320001009575_150_00,8009074,8043 2,8042 2,
3320001009575_150_00,8009074,8043 2,8041 2,
3320001009575_150_00,8009074,8043 2,8040 1,
3320001009575_150_00,8009074,8045 1,8042 2,
3320001009575_150_00,8009074,8045 1,8041 2,
3320001009575_150_00,8009074,8045 1,8040 1,
3320001009575_150_00,8009074,8045 1,8044 1,
3320001009575_150_00,8009074,8045 1,8043 2,
3320001009575_150_00,8009074,8050 9,8047 1,
3320001009575_150_00,8009074,8050 9,8046 1,
3320001009575_150_00,8009074,8050 9,8042 2,
3320001009575_150_00,8009074,8050 9,8041 2,
3320001009575_150_00,8009074,8050 9,8040 1,
3320001009575_150_00,8009074,8050 9,8044 1,
3320001009575_150_00,8009074,8050 9,8043 2,
3320001009575_150_00,8009074,8050 9,8045 1,
3320001009575_150_00,7043032,8051 9,8044 2,
3320001009575_150_00,7043032,8051 9,8043 1,
3320001009575_150_00,7043032,8051 9,8047 2,
3320001009575_150_00,7043032,8051 9,8048 2,
3320001009575_150_00,7043032,8051 9,8042 2,
3320001009575_150_00,7043032,8051 9,8041 1,
3320001009575_150_00,7043032,8051 9,8046 2,
3320001009575_150_00,7043032,8051 9,8050 9,
3320001009575_150_00,7043032,8051 9,8052 9,
3320001009575_150_00,7043032,8051 9,8045 2,
3320001009575_150_00,7043032,8044 2,8047 2,
3320001009575_150_00,7043032,8044 2,8048 2,
3320001009575_150_00,7043032,8044 2,8046 2,
3320001009575_150_00,7043032,8044 2,8050 9,
3320001009575_150_00,7043032,8044 2,8045 2,
3320001009575_150_00,7043032,8043 1,8044 2,
3320001009575_150_00,7043032,8043 1,8047 2,
3320001009575_150_00,7043032,8043 1,8048 2,
3320001009575_150_00,7043032,8043 1,8046 2,
3320001009575_150_00,7043032,8043 1,8050 9,
3320001009575_150_00,7043032,8043 1,8045 2,
3320001009575_150_00,7043032,8047 2,8048 2,
3320001009575_150_00,7043032,8047 2,8050 9,
3320001009575_150_00,7043032,8042 2,8044 2,
3320001009575_150_00,7043032,8042 2,8043 1,
3320001009575_150_00,7043032,8042 2,8047 2,
3320001009575_150_00,7043032,8042 2,8048 2,
3320001009575_150_00,7043032,8042 2,8046 2,
3320001009575_150_00,7043032,8042 2,8050 9,
3320001009575_150_00,7043032,8042 2,8045 2,
3320001009575_150_00,7043032,8041 1,8044 2,
3320001009575_150_00,7043032,8041 1,8043 1,
3320001009575_150_00,7043032,8041 1,8047 2,
3320001009575_150_00,7043032,8041 1,8048 2,
3320001009575_150_00,7043032,8041 1,8042 2,
3320001009575_150_00,7043032,8041 1,8046 2,
3320001009575_150_00,7043032,8041 1,8050 9,
3320001009575_150_00,7043032,8041 1,8045 2,
3320001009575_150_00,7043032,8046 2,8047 2,
3320001009575_150_00,7043032,8046 2,8048 2,
3320001009575_150_00,7043032,8046 2,8050 9,
3320001009575_150_00,7043032,8050 9,8048 2,
3320001009575_150_00,7043032,8052 9,8044 2,
3320001009575_150_00,7043032,8052 9,8043 1,
3320001009575_150_00,7043032,8052 9,8047 2,
3320001009575_150_00,7043032,8052 9,8048 2,
3320001009575_150_00,7043032,8052 9,8042 2,
3320001009575_150_00,7043032,8052 9,8041 1,
3320001009575_150_00,7043032,8052 9,8046 2,
3320001009575_150_00,7043032,8052 9,8050 9,
3320001009575_150_00,7043032,8052 9,8045 2,
3320001009575_150_00,7043032,8045 2,8047 2,
3320001009575_150_00,7043032,8045 2,8048 2,
3320001009575_150_00,7043032,8045 2,8046 2,
3320001009575_150_00,7043032,8045 2,8050 9,
3320001009575_150_00,8009082,8303 1,8048 1,
3320001009575_150_00,8009082,8303 1,8302 9,
3320001009575_150_00,8009082,8303 1,8301 9,
3320001009575_150_00,8009082,8304 9,8303 1,
3320001009575_150_00,8009082,8304 9,8048 1,
3320001009575_150_00,8009082,8304 9,8302 9,
3320001009575_150_00,8009082,8304 9,8301 9,
3320001009575_150_00,8009082,8302 9,8048 1,
3320001009575_150_00,8009082,8302 9,8301 9,
3320001009575_150_00,8009082,8301 9,8048 1,
3320001009575_150_00,7034013,8044 2,8114 9,
3320001009575_150_00,7034013,8044 2,8102 9,
3320001009575_150_00,7034013,8044 2,8101 9,
3320001009575_150_00,7034013,8102 9,8114 9,
3320001009575_150_00,7034013,8043 1,8044 2,
3320001009575_150_00,7034013,8043 1,8114 9,
3320001009575_150_00,7034013,8043 1,8102 9,
3320001009575_150_00,7034013,8043 1,8101 9,
3320001009575_150_00,7034013,8101 9,8114 9,
3320001009575_150_00,7034013,8101 9,8102 9,
3320001009575_150_00,7034013,8042 2,8044 2,
3320001009575_150_00,7034013,8042 2,8114 9,
3320001009575_150_00,7034013,8042 2,8102 9,
3320001009575_150_00,7034013,8042 2,8043 1,
3320001009575_150_00,7034013,8042 2,8101 9,
3320001009575_150_00,8014012,8114 9,8102 9,
3320001009575_150_00,8014012,8114 9,8101 9,
3320001009575_150_00,8014012,8114 9,8042 1,
3320001009575_150_00,8014012,8114 9,8044 1,
3320001009575_150_00,8014012,8114 9,8043 2,
3320001009575_150_00,8014012,8102 9,8101 9,
3320001009575_150_00,8014012,8102 9,8042 1,
3320001009575_150_00,8014012,8102 9,8044 1,
3320001009575_150_00,8014012,8102 9,8043 2,
3320001009575_150_00,8014012,8101 9,8042 1,
3320001009575_150_00,8014012,8101 9,8044 1,
3320001009575_150_00,8014012,8101 9,8043 2,
3320001009575_150_00,8014012,8044 1,8042 1,
