id,name_ja,category,lat,lon
K001,別府温泉　杉乃井ホテル（オリックスホテルズ＆リゾーツ）,温泉旅館,33.28477407830728,131.47299201502108
K002,別府温泉　悠彩の宿　望海,温泉旅館,33.2825776328555,131.5062173523915
K003,グランドメルキュール別府湾リゾート＆スパ,温泉旅館,33.35612428813619,131.49828058122898
K004,亀の井ホテル　別府,温泉旅館,33.276578578954634,131.49970745423667
K005,朝霧の見える宿　ゆふいん花由,温泉旅館,33.26086399888156,131.3323394677309
K006,大江戸温泉物語　別府清風,温泉旅館,33.280263182632424,131.5074942546585
K007,グランヴィリホテル別府湾　和蔵　-ルートインホテルズ-,温泉旅館,33.34998710057889,131.4980744115995
K008,界　別府,温泉旅館,33.27951130100476,131.5076061708058
K009,ゆふいん山水館,温泉旅館,33.25914273095603,131.3567795276756
K010,みはらしの宿　ふろんでん,温泉旅館,33.25641773844439,131.03712266814915
K011,御宿　由布乃庄,温泉旅館,33.30811223606426,131.39452856773252
K012,湯平温泉　旅館いづもや,温泉旅館,33.19242536105185,131.32625025238852
K013,由布の彩　YADOYA おおはし,温泉旅館,33.2608089702805,131.34198688491696
K014,御宿　田　離宮,温泉旅館,33.26034308595625,131.36479042540122
K015,草屋根の宿　龍のひげ/別邸　ゆむた,温泉旅館,33.25239519983379,131.3089626830709
K016,由布院　六花,温泉旅館,33.26269222413909,131.35179264115482
K017,フリューゲル久住,温泉旅館,33.057229316197734,131.32657298347567
K018,鉄輪温泉　八葉,温泉旅館,33.31730483778392,131.47678388348453
K019,湯けむりの里　東屋,温泉旅館,33.31827672713054,131.47707745464857
K020,筋湯温泉　旅館白滝,温泉旅館,33.116344084091395,131.18568183929676
K021,由布院温泉グランピング　風の響き,温泉旅館,33.27180168544143,131.36980836999157
K022,由布院温泉　すみか,温泉旅館,33.26102671244552,131.37041971046588
K023,亀川温泉　まるみや旅館,温泉旅館,33.324653162001034,131.49542591232088
K024,亀川温泉　遊湯,温泉旅館,33.33337272223185,131.49312632395979
K025,別館　うみね,温泉旅館,33.31752508613013,131.4703542123207
K026,別府温泉　美湯の宿　両築別邸,温泉旅館,33.28155931815302,131.47664555094127
K027,別府最大級の露天風呂の宿　おにやまホテル,温泉旅館,33.31515755017257,131.47316731046774
K028,山荘　神和苑,温泉旅館,33.31640718140241,131.47151344116875
K029,天然温泉　白糸の湯　ドーミーイン大分,温泉旅館,33.23433145336496,131.60547972582074
K030,別府温泉　ホテル白菊,温泉旅館,33.2803202131732,131.49407681047708
K031,スパ＆リゾート　ホテルソラージュ　大分・日出,温泉旅館,33.36915359710662,131.59641181048025
K032,大江戸温泉物語　Premium ホテル風月,温泉旅館,33.31361827479191,131.47730805517372
K033,ばっぷ温泉　和モダン湯宿　ゆとりろ別府,温泉旅館,33.32997732841097,131.48427115280643
K034,灯りの宿　燈月,温泉旅館,33.31311623010921,131.46888680862466
K035,由布院温泉　すみか,温泉旅館,33.2608577755079,131.3704731018608
K036,別府温泉　リゾーピア別府,温泉旅館,33.29069240114413,131.46139455465908
K037,由布院温泉　かほりの郷　はな村,温泉旅館,33.26667355762349,131.36140022396825
K038,別府温泉　ホテル好楽,温泉旅館,33.28098438831742,131.50689586629605
K039,一壺天,温泉旅館,33.27856143506584,131.3500452969862
K040,寛ぎの宿なな川,温泉旅館,33.2665564337166,131.3667265969857
K041,由布院別邸　樹,温泉旅館,33.264183508308385,131.3656480834945
K042,御宿　一禅,温泉旅館,33.273645032682445,131.36674275465842
K043,旅亭　田乃倉,温泉旅館,33.266398599643125,131.3672363816406
K044,ANAインターコンチネンタル別府リゾート＆スパ,温泉旅館,33.31835628067424,131.46103792582372
K045,アマネリゾート　ガバナ,温泉旅館,33.31610751332307,131.50113735466
K046,山荘天水,温泉旅館,33.25216801673894,131.02332459513113
K047,由布院　草庵秋桜,温泉旅館,33.26688619849098,131.36635508534823
K048,奥日田温泉　うめひびき,温泉旅館,33.23954798959334,130.98292345280308
K049,旅想　ゆふいん　やまだ屋,温泉旅館,33.26200071003388,131.36004655465774
湯布院フローラルヴィレッジ


T001,血の池地獄,観光地,33.33970700399495,131.47132874037848
T002,べっぷ地獄めぐり,観光地,33.32708596648148,131.46926880381474
T003,金鱗湖,観光地,33.281016285418055,131.3731470782888
T004,海地獄,観光地,33.32828659897359,131.46461853203385
T005,大分マリーンパレス水族館「うみたまご」,観光地,33.27137182964325,131.5355634051613
T006,九重“夢”大吊橋,観光地,33.18484518845626,131.22418531411878
T007,志高湖,観光地,33.27055913565764,131.44736450442755
T008,鬼山地獄,観光地,33.32967109872766,131.47139709767143
T009,原尻の滝,観光地,32.9742094828605,131.4472897320338
T010,白池地獄,観光地,33.32846756672926,131.47412690516134
T011,別府ロープウェイ,観光地,33.29116804900367,131.44597443878993
T012,大分市美術館,観光地,33.236678649425365,131.59873237755517
T013,一目八景展望台,観光地,33.38676820467714,131.15755380442755
T014,高崎山自然動物園,観光地,33.27263876244131, 131.53486354172517
T015,青の洞門対岸のネモフィラ,観光地,33.51007589820553,131.1719457051614
T016,競秀峰,観光地,33.518090768981594,131.16919912307637
T017,湯けむり展望台,観光地,33.32599609253165,131.47983264099136
T018,龍巻地獄,観光地,33.34377997718478,131.47365283130006
T019,くじゅう花公園,観光地,33.05861356626304,131.24036077755505
T020,九州自然動物公園 アフリカンサファリ,観光地,33.35838116550881,131.41857232381014
T021,やよい天狗,観光地,33.30701196027801,131.5026780846939
T022,大吊り橋,観光地,33.31598609999999,131.47876778821154
T023,大分城址公園,観光地,33.268921956175774,131.59961739995217
