id,name_ja,category,lat,lon

S001,01.アートプラザ,シェアサイクル,33.241376600320244, 131.60991089611042
S002,02.トヨタカローラ大分 祝祭の広場,シェアサイクル,33.23628048762444, 131.60755055428737
S003,03.「要町バスターミナル西A」,シェアサイクル,33.23370194589653, 131.60787421348485
S004,05.大手公園,シェアサイクル,33.23859055161779, 131.61110782455356
S005,06.ふないアクアパーク,シェアサイクル,33.23684966595088, 131.60953068562193
S006,07.ドコモショップ 金池店,シェアサイクル,33.234176123041756, 131.6088377696325
S007,08.ドコモショップ 大分中島店,シェアサイクル,33.246576704082585, 131.6107204098886
S008,09.南蛮BVNGO交流館,シェアサイクル,33.22977731165767, 131.61729365465695
S009,10.中央地下駐輪場,シェアサイクル,33.23698702554045, 131.605972945779
S010,11.さんふらわあ大分港,シェアサイクル,33.245924620823544, 131.58873979698492
S011,12.大分銀行 本店,シェアサイクル,33.23896743982642, 131.60780334298252
S012,13.レンブラントホテル大分,シェアサイクル,33.2336373029417, 131.59949061047556
S013,14.田ノ浦ビーチ,シェアサイクル,33.255949620340324, 131.5469807696324
S014,15.旧中島小学校,シェアサイクル,33.24350791773711, 131.60774969881
S015,18.大分みらい信用金庫ATMコーナー 春日出張所,シェアサイクル,33.24374573174657, 131.59695272192226
S016,20.コレジオ大分,シェアサイクル,33.23076933504724, 131.60696232396694
S017,21.TOSハウジングメッセ,シェアサイクル,33.247827654299364, 131.59731019461708
S018,22.ハニカムプラザ,シェアサイクル,33.238437645043156, 131.61003950008063
S019,24.クローバー公園,シェアサイクル,33.24023544923071, 131.59957855947889
S020,25.やまばと児童公園,シェアサイクル,33.23817747422527, 131.5903951463578
S021,28.錦町2丁目交差点ボケットパーク,シェアサイクル,33.23246065080034, 131.61873801047545
S022,30.大分駅レンタルサイクルポート,シェアサイクル,33.232185829652586, 131.6072731135718
S023,31.大分銀行勢家支店跡地,シェアサイクル,33.244306778844994, 131.6023325969848
S024,32.D-plaza,シェアサイクル,33.24641754684241, 131.60622298349364
S025,33.大分市役所本庁舎,シェアサイクル,33.23990965323969, 131.60884404013808
S026,34.大分放送(OBS),シェアサイクル,33.241276619052705, 131.62721632891692
S027,36.風之荘本館,シェアサイクル,33.23049751455902, 131.60102613457607
S028,37.大分市保健所,シェアサイクル,33.24108516240381, 131.6097238046748
S029,38.大分県立美術館(OPAM),シェアサイクル,33.23991240697266, 131.60196572550257
S030,41.平和市民公園(北),シェアサイクル,33.24437813531907, 131.64656125711153
S031,43.ホテル サンバリーアネックス,シェアサイクル,33.311341844433706, 131.49808441565003
S032,45.ロイヤルホスト 別府北浜店,シェアサイクル,33.279533,131.506531
S033,47.さんふらわあ別府港,シェアサイクル,33.31277640443824, 131.5042642253413
S034,48.龍巻地獄,シェアサイクル,33.32745012639713, 131.47951483931507
S035,50.海地獄,シェアサイクル,33.315948888776155, 131.46965443931504
S036,53.月刊シティ情報おおいた駐輪場横,シェアサイクル,33.238839491193474, 131.61643546629452
S037,56.大分合同新聞社別府総局,シェアサイクル,33.29096854522211, 131.5015176432563
S038,58.トキハ別府店,シェアサイクル,33.280476743451004, 131.5059284123311
S039,59.滝尾橋東バス停前,シェアサイクル,33.23209343909909, 131.62700155589934
S040,63.かまど地獄,シェアサイクル,33.31651371227845, 131.472866783496
S041,66.シルバー人材センター,シェアサイクル,33.23485824808931, 131.61364209698453
S042,67.高城駅駐輪場,シェアサイクル,33.24300556638577, 131.65464800008064
S043,68.大分信用金庫 西新町支店,シェアサイクル,33.2375164729758, 131.60356968648358
S044,69.豊和銀行 本店,シェアサイクル,33.24156150595094, 131.59334979327713
S045,70.豊和銀行 下郡支店,シェアサイクル,33.227266916254905, 131.63523794301946
S046,73.裏川緑地,シェアサイクル,33.235449346633175, 131.6310073528034
S047,74.城の内公園,シェアサイクル,33.228443890843515, 131.63127672396664
S048,76.豊和銀行 大道支店,シェアサイクル,33.2265160946026, 131.59500788163916
S049,78.WOW 荻原店,シェアサイクル,33.24683813674727, 131.63861108163997
S050,80.大分県庁,シェアサイクル,33.238695291499944, 131.6126180135677
S051,81.かんたん港園,シェアサイクル,33.246579837237256, 131.58478835465758
S052,82.大分銀行 ソーリン支店,シェアサイクル,33.2310544114142, 131.60373985280293
S053,83.大分銀行 南支店,シェアサイクル,33.212632137729365, 131.59399161923034
S054,84.大分銀行 にじが丘出張所,シェアサイクル,33.22955513667143, 131.58075344240808
S055,86.天神児童公園,シェアサイクル,33.33787292371592, 131.6104777864685
S056,88.こばと児童公園,シェアサイクル,33.23259795365719, 131.58031029698438
S057,89.城南東児童公園,シェアサイクル,33.21976378326581, 131.58443288163886
S058,90.大分県立図書館,シェアサイクル,33.23921053736693, 131.59050399698475
S059,92.線路敷ボードウォーク広場,シェアサイクル,33.22937894299884, 131.61544337124437
S060,93.オアシスひろば21-A,シェアサイクル,33.23824109290844, 131.60239219674506
S061,94.オアシスひろば21-B,シェアサイクル,33.23895000317309, 131.60106182106475
S062,95.大分駅高架下西駐輪場,シェアサイクル,33.233805136798686, 131.60502859822773
S063,96.バイシクルフレンドリーステーション,シェアサイクル,33.22855921765464, 131.61373803931184
S064,97.大分ソフィアプラザビル,シェアサイクル,33.24201440360805, 131.6001713276712
S065,98.あけのアクロスタウン,シェアサイクル,33.22321935357359, 131.65218740008063
S066,99.大分銀行 日岡・津留・荻原支店,シェアサイクル,33.24599040300891, 131.64190609263562
S067,100.大分駅前交差点,シェアサイクル,33.23824832387022, 131.60673467852973
S068,101.フレスポ春日浦,シェアサイクル,33.245487572239554, 131.59676557653398
