route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1820,7320001002007,,明治線,,3,,,
1671,7320001002007,,豊州線,,3,,,
1650,7320001002007,,中安線,,3,,,
1990,7320001002007,,池永線,,3,,,
2010,7320001002007,,田口線,,3,,,
1770,7320001002007,,津房線,,3,,,
1261,7320001002007,,伊美線,,3,,,
3370,7320001002007,,耶馬渓線,,3,,,
1881,7320001002007,,中日線,,3,,,
1980,7320001002007,,三保線,,3,,,
1880,7320001002007,,中日線,,3,,,
1981,7320001002007,,三保線,,3,,,
1480,7320001002007,,海岸中高線,,3,,,
1651,7320001002007,,中安線,,3,,,
1271,7320001002007,,伊美線,,3,,,
2060,7320001002007,,深秣線,,3,,,
1530,7320001002007,,豊州線,,3,,,
1411,7320001002007,,国道中高線,,3,,,
1871,7320001002007,,中日線,,3,,,
1941,7320001002007,,中日線,,3,,,
1611,7320001002007,,乙女線,,3,,,
1481,7320001002007,,海岸中高線,,3,,,
1270,7320001002007,,伊美線,,3,,,
1443,7320001002007,,国道中高線,,3,,,
1940,7320001002007,,中日線,,3,,,
1670,7320001002007,,豊州線,,3,,,
1661,7320001002007,,中安線,,3,,,
1442,7320001002007,,国道中高線,,3,,,
1991,7320001002007,,池永線,,3,,,
1410,7320001002007,,国道中高線,,3,,,
3821,7320001002007,,四日市線,,3,,,
3820,7320001002007,,四日市線,,3,,,
1821,7320001002007,,明治線,,3,,,
3985,7320001002007,N,大分空港線（ノースライナー）,,3,,,
2811,7320001002007,,耶馬渓線,,3,,,
3984,7320001002007,N,大分空港線（ノースライナー）,,3,,,
1440,7320001002007,,国道中高線,,3,,,
3371,7320001002007,,耶馬渓線,,3,,,
2001,7320001002007,,永添線,,3,,,
2790,7320001002007,,耶馬渓線,,3,,,
1531,7320001002007,,豊州線,,3,,,
1971,7320001002007,,池永線,,3,,,
2000,7320001002007,,永添線,,3,,,
1970,7320001002007,,池永線,,3,,,
2791,7320001002007,,耶馬渓線,,3,,,
1610,7320001002007,,乙女線,,3,,,
2011,7320001002007,,田口線,,3,,,
1870,7320001002007,,中日線,,3,,,
1260,7320001002007,,伊美線,,3,,,
2810,7320001002007,,耶馬渓線,,3,,,
1441,7320001002007,,国道中高線,,3,,,
2061,7320001002007,,深秣線,,3,,,
1771,7320001002007,,津房線,,3,,,
